This file was created by CMPT_IND_RETS using the 202006 CRSP database.
192903  -5.14  -2.04  -2.31  10.41   4.11   3.26  -5.27  -1.75  -3.36  -2.62
192904   1.63  -1.10   2.15   0.63   1.78   3.39   3.42   1.36   4.88   0.33
192905  -4.22 -15.98 -10.24  -6.02   0.20  -8.77  -8.79  -8.47   4.58  -0.50
192906   4.83   6.88  13.22   0.84  16.65  12.62   9.29   4.24  23.32   5.31
192907   2.99  -3.17   3.84   0.01   9.24  13.68   0.79   2.48   9.00   6.37
192908   4.49   2.34   9.12  10.90  12.44  10.98   7.53   2.50   8.66   7.49
192909  -4.07  -8.56  -7.44  -3.18  -7.77  -2.13  -5.51  -7.38   1.22  -6.79
192910 -10.87 -29.13 -19.87 -10.22 -27.86 -15.39 -24.18 -18.15 -30.13 -12.11
192911  -8.81 -18.66 -14.68  -6.91 -19.38  -9.47 -13.06  -8.66 -14.95  -9.87
192912  -0.02   4.44   1.00  -1.48  10.14   0.00  -6.14   0.43   7.62  -1.30
193001   5.40   5.73   6.52  -0.97  10.61   1.19   4.45   2.36   7.07   4.52
193002   1.80   1.34   1.81  -5.03   7.60   7.06  -5.56   2.46   8.17   2.98
193003   1.48  10.93   6.44  17.65   7.62   7.86  -2.68   5.44   9.62   4.44
193004   0.31  -7.98  -7.73   6.25   1.97  -4.52   2.11  -1.33   3.19  -6.58
193005   1.07   3.08  -2.08  -4.18  -4.51   0.40  -0.39  -2.25  -1.65  -1.39
193006 -11.59 -22.66 -16.82 -15.74 -20.22  -9.33 -16.47 -13.94 -19.16 -12.33
193007   2.86  11.95   4.37   5.00   4.07   1.27   2.44   6.45   3.81   3.09
193008   1.53  -3.15  -0.41  -3.75   2.06   1.65   4.44   6.80   0.84  -0.85
193009  -9.58 -17.05 -14.10 -15.74 -18.77  -6.24 -11.20  -9.19 -12.10 -11.07
193010  -5.23 -11.76 -10.33  -8.66 -17.35  -4.12  -8.87  -4.44  -8.45  -8.78
193011  -0.20   3.68  -0.69  -4.26  -3.47  -3.27   2.21  -4.21  -9.15  -5.49
193012  -5.34  -1.52  -8.89 -12.62 -11.58  -5.02 -13.82  -7.38  -3.98  -9.81
193101   5.06   7.84   3.05   5.07   5.15   4.79   6.85   8.16   5.33  11.49
193102   6.28  15.88  12.37   5.02  22.32   5.95  14.30   6.79  14.82   5.07
193103  -2.40  -3.97  -7.19 -14.54  -8.50  -4.74  -3.60   1.26  -3.15  -9.93
193104  -5.54  -8.01 -14.49 -13.66 -13.12  -4.25  -5.40  -3.69  -9.24 -10.11
193105 -11.43 -17.54 -16.71 -13.49 -12.97  -8.94  -3.46 -11.24 -11.57 -18.01
193106   9.98  14.50  16.65  17.25  17.63   8.82   7.42   9.07  10.71  15.34
193107  -4.09  -2.26 -10.60  -3.75 -10.47  -4.88  -1.79   2.55  -5.59 -10.43
193108  -1.01  -4.32  -0.56   8.43   3.65   0.82   2.57  -0.61  -2.18  -4.19
193109 -25.49 -34.96 -30.26 -30.04 -34.35 -22.89 -30.58 -29.99 -33.34 -26.99
193110   6.53  12.80   5.75  13.87  10.61   4.34  13.58  11.18  10.16   1.43
193111  -4.79  -5.68  -8.77  -9.73 -14.23  -6.86 -11.18  -4.09  -5.34 -19.69
193112 -10.58  -8.97 -16.10 -19.18 -14.85  -9.69 -15.65  -4.80 -13.66 -17.57
193201   1.72  -7.04  -0.95  -4.96 -11.54  -4.04   0.36  -2.74  -2.72   6.44
193202   4.58   0.32   5.35   7.32   6.19  11.63   3.48   0.59   6.14  -0.66
193203  -7.05 -22.33 -14.78  -1.33 -15.48 -11.69  -9.81  -7.16 -10.04 -16.67
193204 -11.69 -29.90 -23.40 -14.06 -24.23 -12.40 -16.62 -19.86 -15.72 -22.43
193205 -21.83 -20.20 -18.71  -7.15 -28.75 -10.81 -29.49 -36.03 -27.72 -30.56
193206  -0.42  -8.17  -3.10   5.62   5.61 -12.09  -1.47   9.54   0.66  -3.60
193207  24.29  44.82  41.13  35.04  44.20  16.70  26.81  29.02  29.09  55.70
193208  22.18  43.78  46.04  18.21  45.51  28.17  32.10  33.71  42.55  58.48
193209  -1.86   8.33  -2.70 -10.31  -6.11  -1.69   2.52 -12.39  -5.02  -4.69
193210 -11.67 -24.81 -16.19  -3.85 -19.04  -8.13 -12.80 -18.66 -10.97 -18.03
193211  -7.59  -3.99 -10.57  -5.59  -8.30  -1.12  -6.45   3.26  -4.36  -7.23
193212   2.53   4.29   2.91  -0.13   4.66   1.51   4.43   6.25   8.67   4.09
193301   4.35   0.37   3.00  -3.11   0.88   0.30  -2.53  -1.25  -4.53   8.49
193302  -9.67 -25.73 -17.61 -14.73 -20.15  -7.77 -18.78 -12.42 -20.61 -16.93
193303   9.18   9.14  10.75   4.23   5.53  -8.13   7.99  -3.78 -13.27   3.12
193304  33.98  79.79  56.77  38.91  53.36  13.22  41.64  37.02  25.14  30.68
193305  12.29  25.19  25.86  17.06  19.78  17.37  17.00  22.13  18.47  31.29
193306   9.62  20.72  12.23  12.40  10.39   8.63  15.97  10.03  15.23  14.05
193307  -6.73  -7.09 -11.57 -12.09 -11.10  -4.37 -13.54 -19.17 -13.71  -6.69
193308   9.50  20.02  16.18  18.93  12.89   4.53   6.68  -1.62  -1.93  14.49
193309  -8.17 -15.35 -10.24  -2.77 -17.53  -5.29  -9.09  -1.71 -20.08 -16.73
193310  -9.30 -10.10  -8.35  -4.90  -9.77  -7.19  -7.92  -6.09  -7.66 -10.88
193311   4.85  23.85  12.38  13.86  12.82   5.63  13.88   7.95  -3.56   5.05
193312  -4.16  10.41   4.45  -1.37   1.02  -5.60   4.20 -12.05   0.85   4.28
193401   9.72  13.13  10.84   8.66  16.08   5.96  17.02  16.70  20.35  18.37
193402  -5.38  -2.56  -3.28  -3.76  -6.34   2.12   2.59  -4.90  -2.67  -2.35
193403   0.28  -0.33  -1.40  -1.60   2.66  -0.54   2.10  -0.96  -2.02   0.58
193404   2.95  -6.90  -2.97  -2.07  -2.33  -1.25  -1.60   7.93  -3.90  -1.75
193405  -3.34 -13.41 -10.29  -5.15  -6.65  -4.30  -7.98  -1.66  -8.65  -7.52
193406   3.01  -2.78   4.07   1.19   2.19  -0.61   2.10   1.73   4.01   2.66
193407  -5.26 -13.91 -11.83  -9.78 -11.89  -4.35  -8.43  -1.95 -17.38 -17.77
193408   3.71   8.80   7.13   5.58   6.54   2.56   4.24  -4.22   0.86   4.14
193409  -0.39   0.64  -1.31  -2.55  -0.95   0.04   2.21   0.47   1.32  -0.69
193410   0.35  -2.19  -0.73  -4.75  -0.93  -1.69   1.58  -0.77  -7.78  -2.29
193411   8.14  16.88  12.28   6.26  13.34  -1.73   9.13   2.84  -1.50   5.34
193412  -1.82   3.50   1.95   0.56   2.93  -2.64  -1.65   0.30  -9.05  -0.73
193501  -1.65  -9.12  -2.68  -4.46   0.85  -0.46  -5.34  -0.92  -3.37  -6.94
193502   1.11  -3.85  -1.99  -4.09   0.18   1.04  -1.07   3.05 -13.29  -5.26
193503  -5.28  -5.92  -5.03  -3.90  -4.69  -2.82  -4.88  -3.45  11.82  -5.89
193504   5.49   5.63   8.69  15.41  10.24   9.13   6.36   3.12  10.95   8.65
193505   0.70   2.22   1.62   2.94   2.59   8.38   2.08  -5.20  12.75   3.56
193506   4.85   9.74   6.28   1.39   7.72   3.53   5.92   3.76   8.75   5.75
193507   2.94  18.99  10.53   0.06   9.53   5.74   7.43   3.13   9.10   7.00
193508  -1.86   7.59   2.95  -2.25   3.17   4.07   2.70  -0.87   6.46   3.21
193509   1.00  11.03   4.01  -3.52   7.18   2.68  -0.87   0.88  -2.33   0.16
193510   4.29  13.53   5.65  13.34   8.64   3.11   1.15   5.91  13.89   2.31
193511   0.78   2.10   4.18   2.12   5.75   9.72   2.24   0.64   0.21  12.77
193512   1.43   5.69   3.40  13.94   2.99  -1.60  -1.54   2.14   5.30   3.88
193601   3.05   3.80   5.39  13.95   6.49   4.16  -2.89   3.40  12.44  11.59
193602   0.20   3.03   5.36   0.98   0.22   6.57   0.44   2.42  -7.10   2.51
193603  -2.62  10.11   2.21   1.64  -0.53  -4.55   0.76   3.33   0.40  -3.23
193604  -4.65 -10.18  -9.11 -10.41  -8.73  -5.74  -5.34  -9.24  -8.56  -7.49
193605   4.65   2.47   5.87  -1.22   5.18   6.46   6.13   3.73   8.98   7.15
193606   1.69   6.75   1.05   1.67   0.78   1.11   4.90   1.09   3.30   1.40
193607   2.73   4.84   7.49   4.64  11.91   2.44   6.07   4.63  11.50   9.31
193608   0.50  -1.91   1.37  -1.14   2.33   1.76   2.00  -2.02  -1.62   1.63
193609  -1.27   3.16   1.73   1.29  -1.71  -0.94   2.49   0.26  -2.26   0.57
193610   3.16   4.99   7.55  12.26   5.51   5.08  11.10   3.74   5.54   8.00
193611   3.58  -3.40   4.77   0.13   4.66   3.87  10.07   2.72  -3.58  -0.19
193612  -2.29  -7.54   1.44   9.15   2.22  -1.60  -9.77  -3.79  -1.99  -1.87
193701   2.18   7.25   4.44   2.33   8.61  -0.85  -0.29   3.44   2.48   0.76
193702   0.47  -0.92   2.48   1.07  -1.44  -3.06   2.55  -4.25  -4.78   4.56
193703  -1.54  -4.26   1.08   3.37  -5.01  -3.35  -3.06  -5.55  -6.58   2.37
193704  -6.58  -7.94  -9.32  -5.38  -7.65  -5.25  -7.57  -3.35  -7.70  -6.89
193705  -0.86  -3.32   0.63  -1.09   0.68   1.53  -4.88   0.70  -5.97  -3.61
193706  -3.84 -10.90  -3.99  -2.78  -2.10   0.03  -1.95  -4.69  -5.65  -9.47
193707   4.88  13.17   9.04   8.19   9.50   3.27  10.15   4.09  19.16   8.43
193708  -2.92  -3.80  -4.77  -6.99  -4.93  -2.54  -4.78   0.54 -10.84  -8.59
193709  -9.79 -12.85 -17.90 -13.33 -14.75  -3.43 -14.46 -11.35 -12.09 -16.34
193710  -7.27 -12.97 -14.09  -7.07  -7.34  -5.36  -7.21  -3.61  -5.25 -10.25
193711  -6.80 -18.13 -10.39 -13.11  -6.02  -3.59 -15.19  -6.07   1.94  -8.21
193712  -3.22 -16.69  -3.27  -1.71  -2.84  -3.05  -8.01  -3.26 -11.38  -8.20
193801   2.59  11.03  -1.37   0.39  -2.52  -2.44   5.49   3.45  -5.95   0.17
193802   2.89   2.92   8.39   8.93   4.20  -2.32   8.72   7.92   2.65   4.59
193803 -16.29 -27.37 -26.03 -25.36 -28.41 -19.04 -22.58 -15.09 -20.08 -30.46
193804  11.81  14.84  13.72  15.77  16.73  13.47  15.57  11.76  14.53  14.45
193805  -0.73  -7.62  -7.12  -6.78  -3.09   0.83  -4.39   1.05   1.21  -4.33
193806  12.73  35.97  32.56  21.66  26.68  10.69  23.69   9.41  16.31  23.98
193807   6.26  19.89   6.67   7.23   5.78   1.28   8.92   5.75   0.37   9.80
193808  -4.46   5.55  -2.11  -9.20  -1.26   0.27  -3.07  -0.22  -6.31  -4.02
193809   0.04   0.66   1.44   0.67   1.12  -0.68  -0.19  -0.59   0.83  -1.78
193810   4.88   6.47  10.44  -1.67  10.05   3.56   7.89   5.58  20.72  10.90
193811  -2.99  -2.40  -1.87  -0.76  -4.52   0.63  -1.10   0.89  -7.79  -2.48
193812   1.99   1.98   5.33   4.54   2.56   1.07   0.53   0.31   3.65   5.31
193901  -2.18  -8.34  -9.42  -6.40  -7.52   1.81  -3.29  -1.00   0.83  -8.81
193902   2.04   5.75   2.75  -1.65   2.68   3.51   5.57   3.18   8.08   4.44
193903  -6.17 -17.68 -15.81  -8.48 -15.52  -3.60  -9.90  -4.87 -13.96 -15.53
193904   0.28   0.72  -1.45  -1.20  -2.76   2.75  -0.55   0.96   2.68  -1.89
193905   5.00   6.31   7.30   1.86   8.19   5.55  11.02   4.94   5.87   7.71
193906  -2.46  -6.85  -6.68  -6.29  -8.60  -5.13  -3.03   0.56  -3.97  -8.42
193907   5.91  17.55  12.75   2.81  14.01   6.51   8.54   3.04  12.37  11.39
193908  -7.79  -8.29  -7.11  -4.43  -8.28  -4.21  -7.99  -5.94  -6.67 -10.26
193909   4.29  23.63  26.72  25.35  11.59   0.99   1.33   6.52   3.24  24.93
193910   2.93  -1.43  -2.68  -4.05  -0.89   3.05   5.66   0.18   1.79  -1.64
193911  -1.32  -4.60  -6.85  -7.03  -3.54   0.95  -3.36   0.72  -2.16  -5.92
193912   2.58   3.45   3.43  -0.39   3.05   1.54   2.13   3.02   2.39   0.96
194001   1.43  -3.84  -4.76  -2.30  -4.20  -0.12  -1.19  -1.82  -0.42  -2.81
194002   0.48   0.83   2.29   0.33  -0.72   1.02   1.84   0.99  -1.90   0.48
194003   1.24   3.70   1.29   1.67   2.30  -0.12   2.69   1.39   1.40   2.09
194004   1.45  -0.55   0.53   0.05  -1.53   0.33  -0.50  -0.35  -1.80  -0.82
194005 -21.33 -27.57 -22.69 -25.53 -20.91 -14.16 -24.84 -21.80 -20.62 -24.63
194006   4.85   8.51   3.80   5.46   2.08   7.23   8.60   4.27  16.86   7.74
194007  -0.43   5.90   4.16   2.94   4.96   1.97   4.20  -0.57  -0.31   3.12
194008   0.88   5.56   1.81   0.64   3.03  -0.38   2.13  -2.91  -1.75   2.40
194009   1.99   3.01   3.82  -2.45   3.40   0.29   2.95   3.99  -2.63   1.82
194010  -1.78   3.92   3.86   6.13   2.34   1.61  -0.07  -3.04   3.35   5.19
194011  -1.91  -2.39  -2.45  -0.29  -4.03   0.54  -3.21  -2.48 -13.80  -1.39
194012  -0.11  -3.61   0.40   1.84  -0.83   0.71  -0.43  -0.95   1.24  -0.99
194101  -0.86  -9.24  -7.22  -2.23  -2.61  -2.10  -3.82  -2.24  -2.80  -1.85
194102  -3.08  -0.25  -2.68  -1.29  -0.51  -2.26  -3.39  -5.40  -1.79  -0.77
194103   0.02  -1.85   0.34   3.52  -0.52   0.39   0.76   1.08  -4.00   1.06
194104  -4.52 -10.59  -5.89   1.28  -8.87  -6.35  -5.65  -5.26 -10.05  -4.49
194105  -1.97  -1.81   2.78   4.26  -0.66   0.38   1.67  -2.32  -5.18  -1.42
194106   5.67   3.66   5.99   5.02   9.77   3.53   4.65   5.97   2.94   3.21
194107   5.14   3.88   6.92  10.78   1.65  -0.39   4.53   7.97   4.74   7.17
194108   0.31   0.23  -1.43  -4.03   0.56   1.04   1.65  -0.57  -2.82  -0.25
194109   1.27   3.93  -3.25  -0.84  -1.66  -1.16   0.03  -0.41  -3.52  -3.26
194110  -7.43  -8.04  -6.78   2.04 -10.19  -2.72  -5.37  -4.21 -10.22  -4.24
194111  -4.06  -6.12  -2.59   1.14  -2.97  -4.10  -5.65  -3.64  -7.40  -3.03
194112  -4.78 -12.21  -0.34 -11.42  -1.04 -10.13 -10.81  -1.96  -8.31  -6.85
194201   2.14   6.23  -2.32  -1.72   0.90  -1.37   0.36  -3.56   3.31   9.32
194202  -6.06   3.77  -3.13  -6.48  -2.67  -0.59  -2.73  -6.16  -3.27  -2.26
194203  -8.96   1.22  -6.04  -8.43  -7.34  -8.68  -7.74  -5.79 -12.99  -9.85
194204  -4.58  -4.38  -4.77  -3.70  -3.71  -7.32  -6.29  -4.97  -4.24  -2.38
194205   8.17   8.60   0.95   5.37   7.61   7.69  11.08  13.81   7.57   2.92
194206   2.90   1.52   3.01   4.19   3.49  -4.17   1.84   2.61   0.81   0.59
194207   2.00   1.96   2.55   5.78   1.75   4.48   4.79   1.15  -1.14   6.10
194208   0.30   1.19   0.54   2.91   0.47   2.46   0.88   1.80   0.13   1.86
194209  -0.62   2.42   2.85   2.16   4.21   0.20   0.06   0.06   4.84   2.60
194210   4.08   5.79   6.48   9.53   6.21   6.19   0.47   3.70  14.47   8.66
194211   1.92  -1.33  -3.48  -0.47   1.81   2.57   5.36   1.02  -1.97  -3.73
194212   3.93   7.91   4.47   7.10   4.95  -1.32   1.86   8.40   3.51   2.82
194301   8.82   5.22   6.85   6.32   9.76   3.78   6.74   2.09  14.14   6.78
194302   3.14   6.63   4.66   7.41   3.19   8.79   2.36   3.16   7.35   9.02
194303   3.91   4.84   5.59   6.85   6.76  -0.90   8.15   4.29   4.03   9.39
194304   0.65   0.51  -1.57   0.89   1.13   4.16   1.58   1.05   3.57   2.09
194305   6.15   5.72   4.78   4.86   6.02   4.55   7.02   4.68   4.05   5.11
194306   1.66   4.72   0.43   1.04   1.84   0.84   5.18   0.30   3.65  -1.75
194307  -2.18  -9.72  -6.94  -3.01  -7.40  -0.18  -3.26  -3.61  -0.88  -5.44
194308   0.59   2.65   0.07   0.58   0.27   0.90   3.15  -0.19   1.50   1.06
194309   1.71   1.56   2.21   1.27   4.57   0.03   1.70   3.80   3.11   1.61
194310  -0.57  -1.14  -0.98  -2.12  -3.46   0.73  -2.50   0.15   0.35  -1.21
194311  -5.29  -6.23  -7.38  -8.06  -6.73  -1.80  -5.48  -4.40  -8.70  -9.35
194312   5.58   7.76   5.12   6.74   7.16   1.72   6.23   3.56   6.84   5.92
194401   3.62   1.01   1.83   0.55   0.62   0.86   0.63  -0.04  -0.72   4.20
194402  -0.95   2.52  -0.96  -0.37  -2.39   0.86   0.45  -3.12   1.19   1.76
194403   2.38   4.63   1.85   1.73   3.16  -0.63   1.87   2.24   1.19   2.05
194404  -2.25  -1.20  -2.17  -1.45  -1.95  -0.57  -1.27  -2.69  -1.29  -2.49
194405   4.87   6.83   4.95   3.94   3.33   2.81   4.66   5.18   1.64   3.69
194406   5.25   9.19   6.60   0.38   6.83   1.87   5.45   3.68   4.40   4.95
194407  -0.65  -4.94  -2.06  -1.39  -1.86  -0.37  -0.20  -1.56  -0.16  -1.02
194408   2.19   3.04   1.48  -2.54   1.74   0.65   2.58   0.27   3.05   0.07
194409  -0.62   0.50   0.22  -1.50  -1.19  -1.05   1.45   0.26  -1.82  -0.39
194410  -0.33  -2.75  -0.44   1.76   0.80   0.75   0.35   0.70   0.79   0.54
194411   0.61   1.16  -0.08   0.98   1.22   0.65   1.92  -0.15  -0.85   2.98
194412   1.67   3.82   3.61   4.87   3.91  -0.60   1.58   1.54   2.64   7.59
194501   2.29   1.36   2.71   4.84   0.66  -2.11  -0.04   0.27   5.29   0.41
194502   3.58   6.72   6.44   6.91   6.39   2.83   4.01   3.78   5.82   7.49
194503  -3.39  -6.15  -5.13  -5.44  -4.37  -1.43  -1.69  -2.02  -3.66  -3.91
194504   6.82  11.13   8.30   6.81   8.03   2.51   6.93   6.04   9.65   8.74
194505   1.94  -0.03   0.19  -1.68   1.59   3.74   5.88   3.67   1.37   2.19
194506   0.54  -1.64  -0.43  -0.69  -2.45   1.36  -3.46  -4.83   4.91   4.04
194507  -1.69  -1.00  -3.08  -3.42  -1.74   2.18  -0.22  -1.88  -0.61  -5.65
194508   7.38   8.59   8.25   1.72   9.53   1.72   7.74   8.72   0.56   2.21
194509   5.96   2.65   5.89   1.81   2.90   0.70   5.34   6.37   6.33   5.76
194510   6.53   0.19   2.18   6.23   0.75   2.36   5.86   6.32   5.78   5.64
194511   3.18   1.82   4.07   7.15   2.47   3.35   6.28   8.01   4.32   8.16
194512   1.00   2.43   1.21  -0.44   1.94  -0.64   3.09   1.39  -1.20  -0.30
194601   4.59   6.67   7.91  -0.16   6.42   1.91  10.81   7.56  10.57   7.21
194602  -5.11  -9.60  -6.50  -5.07  -7.51  -2.84  -4.58  -4.66  -6.02  -6.37
194603   6.08   0.90   5.44  10.93   1.67   0.04  11.17  14.41   5.89   4.08
194604   3.29   1.41   4.24   8.70   1.66   1.59   6.94  14.50   4.04   1.65
194605   3.02   4.59   4.57   2.93   4.97   2.81   1.58   5.23   2.60   2.96
194606  -3.84  -5.98  -3.83  -3.28  -5.70  -0.79  -7.90  -5.64  -3.01  -3.64
194607  -1.02  -4.76  -3.37  -0.22  -3.35  -0.08  -3.20  -3.42  -3.85  -5.17
194608  -5.58 -10.90  -7.18  -6.04  -7.06  -7.02  -5.24  -3.69  -5.73  -7.09
194609 -10.98 -14.96 -10.68  -8.21 -10.29  -5.91  -7.20  -7.23  -9.18 -14.81
194610   0.02  -3.32  -2.06  -0.80  -2.88  -5.13  -2.42  -0.48   0.98  -0.58
194611  -1.92  -1.97   0.84  -0.31  -2.39   1.75  -6.02   0.85   0.30  -0.62
194612   3.09   5.97   6.02   3.88   3.83   2.48   3.08   6.86   5.85   1.90
194701  -0.12  10.87   0.77  -0.74   5.35   1.03   0.37  -5.52  -0.42   0.27
194702  -0.74   0.54  -1.29  -3.20  -2.29  -2.07  -1.02  -4.59  -1.33  -1.72
194703  -2.66  -2.81  -1.91   2.17  -2.89  -3.40  -2.58  -1.56  -3.03  -3.92
194704  -7.07  -4.09  -5.90  -0.60  -5.29  -0.22  -8.26  -8.83  -4.25  -6.35
194705  -0.96  -3.27  -2.77   1.30  -0.54  -1.12  -0.85  -3.19  -3.00  -2.76
194706   6.03   5.76   5.30   7.58   3.20  -4.46   9.44   3.87   3.73   2.49
194707   4.30   5.17   3.69   3.67   6.24   0.81   4.36   2.34   2.02   5.84
194708  -1.91  -1.81  -1.64  -2.81  -4.42   0.34  -4.10  -4.30  -0.16  -3.64
194709  -0.12   0.04   0.20  -2.88   0.41  -0.49  -3.22  -2.91  -1.70  -1.53
194710   0.97   2.88   3.07   5.11   1.66   0.21   2.83   0.96  -0.35   0.80
194711  -2.51  -3.86  -2.26  -1.90  -0.98  -2.60  -3.47  -3.66  -8.12  -3.03
194712  -0.01   1.86   1.76   8.83   1.45  -0.95  -0.48   2.67   0.76   2.90
194801  -3.11  -5.36  -4.19  -7.54  -5.57   0.10  -3.56  -8.56  -0.63  -1.10
194802  -6.66  -6.57  -6.04  -3.57  -4.20  -1.09  -4.53  -4.07  -3.90  -4.56
194803   4.71   6.98   9.17   9.65  10.35   0.48   6.19   5.94   6.01   9.10
194804   0.96   1.13   2.37  10.78  -0.67   2.65   4.73   1.89   1.12   3.16
194805   4.51  13.24   7.19   5.51  12.51   2.46   8.13   6.27   5.28   6.05
194806  -2.49   0.14  -1.48   3.14  -2.10  -0.96  -1.70  -2.52   2.10  -1.48
194807  -2.06  -4.39  -5.13  -7.28  -6.65  -1.65  -7.93  -4.49  -4.62  -5.09
194808  -0.57  -0.26  -0.38  -2.73   2.81   0.03   1.92  -2.42  -0.32   1.03
194809  -4.57  -4.14  -3.22  -4.66  -3.95  -1.67  -1.37  -3.44  -1.37  -4.05
194810   3.12   7.91   6.54   8.75   6.77   1.11   3.91   4.92   3.55   4.58
194811  -7.06 -14.13 -11.55 -12.95  -9.62  -2.08  -7.16  -6.71  -9.55 -11.39
194812   0.01   2.84   3.17   4.12   5.02  -0.39   0.72   3.99   2.18   1.59
194901   3.15   2.42   0.17  -3.97  -1.39  -1.26   0.87   4.31   4.31   0.08
194902  -2.57  -5.42  -4.35  -4.89  -4.43  -0.31  -3.12  -1.49   0.27  -3.78
194903   2.54   3.13   3.07   5.70   4.96  -0.15   3.95   5.12   3.10   3.82
194904  -2.03  -4.26  -3.68   0.63  -3.79  -1.64  -1.96   0.00   0.84  -1.65
194905  -1.01  -4.72  -4.16  -6.19  -5.54  -2.19  -0.42  -2.41  -1.05  -3.42
194906   0.52   1.05  -0.44  -1.68  -0.84  -0.46   2.40   1.73  -1.55  -2.20
194907   4.57   9.42   5.81   6.11   6.88   2.41   4.90   5.76   4.43   4.03
194908   3.42   0.51   1.18   4.59   0.31   0.95   0.79  -0.33   3.21   0.79
194909   2.27   2.35   3.50   2.97   3.00  -0.32   1.94   1.49   3.45   2.77
194910   1.10   7.31   4.18   3.61   3.69   1.88   0.49   3.15   0.91   2.20
194911   0.96   0.16   1.63  -4.48   3.43   1.65   1.10   3.86   2.79   0.31
194912   4.54   7.72   5.74   0.57   7.67   0.09   4.00   8.33   2.75   6.36
195001   0.92   1.83   1.84  -0.76   4.50   1.86   0.18   0.87   3.28   2.98
195002   0.01   1.75   1.21  -1.54   3.11   0.64   1.59   1.44   2.12   0.51
195003  -1.12   1.68   0.33   4.63   1.71   3.10  -0.55  -3.21  -0.12  -1.39
195004  -0.21  10.53   7.25   3.06   4.61   2.37  -0.63   5.32   0.58   1.36
195005   1.57   4.91   5.13   7.78  -0.05   1.95   2.58   3.46   1.35   0.61
195006  -6.15  -4.23  -6.95  -4.75  -8.68  -5.64  -4.78  -4.49  -8.24  -7.47
195007   0.08  -2.74   2.02   8.71  -2.94  -1.33  -1.16  -7.17  -5.55   7.24
195008   3.32   5.61   5.16   3.21   4.81   2.53   3.65   3.16   2.82   1.64
