This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199808    ,0.13
199809   ,-4.18
199810   ,-4.68
199811  ,-10.71
199812    ,2.29
199901   ,-0.76
199902    ,0.42
199903   ,-4.04
199904   ,-1.73
199905    ,2.07
199906    ,2.60
199907    ,3.36
199908    ,7.62
199909    ,0.53
199910    ,8.51
199911    ,4.39
199912    ,0.95
200001   ,-3.05
200002    ,5.12
200003   ,-2.21
200004   ,-6.72
200005    ,0.38
200006    ,3.73
200007   ,-4.08
200008    ,3.52
200009   ,-1.19
200010   ,-0.48
200011    ,1.30
200012   ,-0.67
200101   ,-8.10
200102    ,4.67
200103    ,3.18
200104    ,0.84
200105    ,2.45
200106    ,2.74
200107    ,0.23
200108    ,0.95
200109    ,6.82
200110   ,-2.40
200111   ,-8.07
200112    ,0.20
200201    ,2.38
200202    ,4.56
200203   ,-1.01
200204   ,-0.36
200205    ,0.55
200206    ,3.05
200207    ,0.89
200208    ,0.54
200209    ,4.19
200210    ,1.08
200211   ,-0.11
200212    ,3.05
200301    ,1.79
200302    ,1.71
200303    ,2.52
200304   ,-1.93
200305   ,-2.75
200306    ,0.38
200307    ,0.71
200308    ,1.90
200309    ,1.04
200310    ,4.24
200311    ,0.91
200312    ,0.84
200401   ,-0.08
200402    ,1.05
200403    ,2.01
200404   ,-2.11
200405   ,-0.57
200406    ,0.60
200407    ,2.16
200408   ,-0.42
200409    ,3.19
200410    ,1.66
200411    ,3.48
200412    ,2.49
200501    ,0.97
200502    ,1.19
200503   ,-0.35
200504    ,2.95
200505    ,0.08
200506    ,1.78
200507    ,2.64
200508    ,3.99
200509    ,0.99
200510    ,0.20
200511    ,1.67
200512   ,-1.26
200601   ,-0.24
200602   ,-1.43
200603    ,1.42
200604    ,1.66
200605   ,-0.95
200606   ,-0.02
200607    ,0.93
200608    ,0.22
200609   ,-0.93
200610    ,1.29
200611    ,1.70
200612    ,0.91
200701    ,1.62
200702    ,2.43
200703    ,2.49
200704    ,3.00
200705    ,2.94
200706   ,-0.07
200707    ,3.10
200708    ,0.54
200709    ,1.14
200710    ,2.85
200711   ,-2.23
200712   ,-1.66
200801   ,-0.83
200802    ,3.49
200803   ,-2.08
200804    ,1.56
200805    ,1.56
200806    ,2.59
200807   ,-2.85
200808   ,-0.49
200809    ,2.79
200810    ,3.97
200811    ,0.73
200812   ,-7.94
200901   ,-2.54
200902    ,2.67
200903   ,-3.90
200904  ,-14.34
200905  ,-14.92
200906    ,0.12
200907   ,-0.26
200908   ,-1.91
200909   ,-0.37
200910   ,-0.61
200911    ,2.08
200912    ,2.35
201001   ,-2.79
201002    ,2.19
201003    ,1.68
201004    ,2.24
201005   ,-0.95
201006    ,0.22
201007    ,1.48
201008    ,2.29
201009    ,2.40
201010    ,1.62
201011    ,1.95
201012   ,-1.14
201101    ,0.77
201102    ,0.50
201103    ,3.33
201104    ,4.27
201105    ,1.43
201106    ,0.99
201107    ,2.19
201108    ,2.02
201109    ,0.11
201110   ,-2.89
201111    ,3.72
201112    ,1.26
201201   ,-7.66
201202   ,-2.27
201203    ,5.24
201204    ,4.28
201205    ,3.23
201206    ,1.36
201207    ,3.14
201208    ,1.26
201209   ,-0.67
201210    ,3.21
201211    ,3.61
201212   ,-1.44
201301    ,0.91
201302    ,4.74
201303    ,2.59
201304    ,3.82
201305    ,1.41
201306   ,-0.15
201307    ,0.24
201308   ,-2.02
201309   ,-0.10
201310    ,1.61
201311    ,1.33
201312    ,1.85
201401    ,3.31
201402    ,3.30
201403   ,-3.58
201404   ,-2.73
201405    ,1.50
201406    ,3.16
201407   ,-0.69
201408    ,0.66
201409    ,1.03
201410    ,1.92
201411    ,0.93
201412   ,-0.17
201501    ,3.96
201502   ,-1.22
201503    ,2.82
201504   ,-2.34
201505    ,3.26
201506    ,1.63
201507    ,1.72
201508    ,1.22
201509    ,0.90
201510   ,-3.49
201511    ,2.78
201512    ,0.77
201601    ,1.71
201602   ,-3.28
201603   ,-5.14
201604   ,-1.49
201605    ,5.43
201606   ,-0.76
201607   ,-1.78
201608    ,1.51
201609    ,1.37
201610   ,-0.57
201611   ,-0.61
201612   ,-0.45
201701    ,2.91
201702   ,-0.30
201703    ,1.56
201704    ,1.04
201705    ,1.85
201706    ,3.26
201707    ,4.28
201708    ,1.55
201709    ,1.14
201710    ,1.95
201711    ,1.84
201712    ,0.27
201801    ,1.34
201802    ,1.02
201803    ,0.88
201804   ,-0.44
201805    ,2.98
201806   ,-0.84
201807   ,-1.01
201808    ,0.82
201809    ,0.74
201810   ,-1.77
201811   ,-0.73
201812    ,0.16
201901   ,-2.29
201902   ,-0.83
201903    ,1.69
201904   ,-1.35
201905    ,3.65
201906    ,1.25
201907    ,0.69
201908    ,3.48
201909   ,-0.86
201910    ,1.19
201911    ,0.22
201912    ,0.28
202001    ,3.40
202002    ,3.97
202003    ,6.23
202004    ,0.34
202005    ,1.74
202006    ,2.14



 Annual Factors: January-December
,WML
1990   ,-4.49
1991    ,6.92
1992   ,21.75
1993   ,48.88
1994   ,-2.55
1995   ,22.76
1996   ,14.11
1997   ,18.50
1998  ,-11.27
1999   ,38.47
2000   ,-3.45
2001    ,6.45
2002   ,19.04
2003   ,17.67
2004   ,16.26
2005   ,20.05
2006    ,5.32
2007   ,20.88
2008    ,2.11
2009  ,-53.52
2010   ,13.22
2011   ,14.13
2012   ,17.69
2013   ,16.49
2014    ,8.71
2015   ,11.82
2016   ,-3.39
2017   ,27.78
2018    ,2.47
2019    ,8.45
