This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 OP portfolios and 4 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP LoINV,ME1 OP1 INV2,ME1 OP1 INV3,ME1 OP1 HiINV,ME1 OP2 LoINV,ME1 OP2 INV2,ME1 OP2 INV3,ME1 OP2 HiINV,ME1 OP3 LoINV,ME1 OP3 INV2,ME1 OP3 INV3,ME1 OP3 HiINV,ME1 OP4 LoINV,ME1 OP4 INV2,ME1 OP4 INV3,SMALL HiOP HiINV,BIG LoOP LoINV,ME2 OP1 INV2,ME2 OP1 INV3,ME2 OP1 HiINV,ME2 OP2 LoINV,ME2 OP2 INV2,ME2 OP2 INV3,ME2 OP2 HiINV,ME2 OP3 LoINV,ME2 OP3 INV2,ME2 OP3 INV3,ME2 OP3 HiINV,ME2 OP4 LoINV,ME2 OP4 INV2,ME2 OP4 INV3,BIG HiOP HiINV
199105     ,6.27    ,-1.09     ,4.49     ,9.20     ,3.45     ,3.60     ,1.99    ,-7.96    ,-1.48     ,2.88    ,-2.58    ,-2.49    ,-0.63    ,-1.10    ,-1.34    ,-4.02    ,-1.57    ,-1.85     ,0.96     ,1.43    ,-0.84    ,-1.54    ,-3.32     ,1.76    ,-2.06    ,-0.99     ,2.03    ,-6.85    ,-3.96     ,4.56     ,1.17    ,-8.16
199106    ,-1.56     ,1.29    ,-2.22    ,-3.64    ,-2.83     ,5.28    ,-0.16     ,3.25     ,0.51    ,-2.49    ,-1.27    ,-0.47     ,0.04    ,-0.89     ,1.36    ,-0.01    ,-0.03     ,1.40     ,1.14    ,-4.38     ,1.53     ,0.83    ,-0.47    ,-2.19    ,-2.16     ,2.98    ,-1.38    ,-1.09     ,3.28    ,-1.03    ,-1.38    ,-0.66
199107    ,11.21    ,10.54    ,10.56     ,5.90     ,4.57     ,7.50     ,9.22     ,9.32     ,3.06     ,9.17     ,6.27     ,1.73    ,13.69     ,6.43     ,6.50     ,6.72     ,7.32     ,6.13     ,9.47     ,6.33     ,8.90     ,9.27    ,14.54     ,4.71     ,5.57     ,1.29     ,6.45     ,2.14     ,7.26     ,4.71     ,3.84     ,0.19
199108     ,3.09     ,2.20     ,5.89    ,-4.42    ,-0.60    ,-1.91    ,-3.68    ,-3.27     ,4.70     ,0.07    ,-1.91     ,0.63    ,-4.08    ,-0.82     ,0.96     ,0.13    ,-0.76    ,-2.48     ,0.64     ,5.50    ,-1.82    ,-5.81    ,-2.38    ,-4.47    ,-2.23    ,-3.45    ,-0.08    ,-0.55     ,0.23    ,-0.27    ,-0.10    ,-3.59
199109     ,5.87     ,4.50     ,9.26     ,4.07     ,8.40     ,0.43     ,3.76     ,5.61    ,11.84     ,4.78     ,1.84     ,0.94    ,10.22     ,1.80     ,3.50     ,5.80     ,1.71     ,1.51     ,1.93     ,4.99     ,2.42     ,0.32    ,-0.71     ,1.29     ,2.33    ,-1.28     ,0.82     ,1.62     ,3.71     ,1.16     ,0.71    ,-0.19
199110    ,26.03     ,6.32     ,4.06     ,3.88    ,19.05     ,6.00     ,4.95     ,9.91     ,6.03     ,1.04     ,5.46     ,9.54     ,9.18     ,5.38     ,6.92     ,8.73     ,4.70     ,0.56     ,0.21    ,12.28     ,1.13     ,1.85     ,3.17     ,1.95     ,0.51     ,6.41     ,5.37     ,4.04     ,6.03     ,6.30     ,3.09     ,1.84
199111    ,-2.44     ,6.28    ,-4.61     ,2.66    ,-0.83    ,-0.02     ,1.28     ,7.19    ,-0.28     ,9.28    ,-1.63     ,4.00     ,1.77     ,1.48     ,2.35     ,0.44    ,-4.34     ,2.05    ,-0.26     ,1.69     ,1.75     ,0.72    ,-1.94     ,3.37    ,-5.87     ,1.59     ,1.49    ,-0.61    ,-7.42     ,0.59     ,0.97     ,0.45
199112    ,-4.47     ,1.55     ,3.62    ,-6.49    ,-3.98    ,-0.89    ,-0.12    ,-1.83     ,4.43    ,-4.19    ,-1.19    ,-2.91    ,-1.43    ,-1.20    ,-0.27    ,-1.36    ,-0.10     ,2.11    ,-2.21     ,2.18     ,2.80     ,3.63     ,2.18     ,4.04    ,-3.27    ,-0.45     ,2.10     ,3.35    ,-2.13     ,1.03     ,3.49     ,3.12
199201     ,0.31     ,8.89     ,5.72     ,2.80     ,0.13     ,5.18     ,4.26     ,8.03    ,-2.54     ,1.45    ,-3.35    ,-0.97     ,1.84     ,0.47     ,0.67     ,2.97    ,-1.06     ,3.25    ,-3.61     ,1.41     ,3.98     ,7.05     ,4.97     ,9.82     ,2.71    ,-0.49     ,0.54    ,-2.97    ,-2.02     ,0.52    ,-1.21     ,8.31
199202     ,1.62     ,7.96    ,-0.92    ,-4.32     ,4.06    ,-0.26    ,-2.93     ,3.87     ,3.82     ,4.34     ,3.87     ,2.40     ,6.14     ,3.16     ,1.42     ,3.61    ,-0.44     ,1.25     ,4.34     ,4.35     ,3.07     ,4.69     ,3.24     ,5.77     ,4.22    ,-4.09     ,1.95    ,-2.99    ,-0.30     ,2.51     ,2.28     ,3.31
199203    ,-4.38    ,-4.39    ,-3.17     ,0.51    ,-4.36    ,-2.67    ,-2.19    ,-2.36    ,-0.98    ,-0.01     ,0.08     ,1.43    ,-5.27     ,5.26     ,0.55    ,-2.77    ,-1.06    ,-0.22     ,1.26     ,2.71    ,-0.34    ,-2.76    ,-2.12    ,-1.23     ,2.96     ,0.86     ,1.89    ,-1.37     ,0.00     ,0.25    ,-0.88     ,3.29
199204    ,-4.31    ,-4.14    ,-1.94    ,-4.02    ,-6.26    ,-3.72     ,0.78    ,-3.77     ,3.40     ,4.05     ,2.54    ,-0.53     ,1.04     ,2.89    ,-0.40     ,2.20     ,2.76     ,1.41     ,3.49     ,5.17     ,6.64     ,5.92     ,7.39    ,11.35     ,3.12     ,4.75     ,6.83     ,3.31     ,2.99     ,4.36     ,6.08     ,9.07
199205     ,2.14     ,5.12    ,15.29     ,7.16     ,4.22     ,2.92     ,6.06    ,-2.06    ,10.11    ,10.67     ,7.20     ,4.29     ,6.38     ,3.64     ,1.38     ,4.03     ,1.13    ,10.48    ,10.52     ,9.90    ,20.69    ,18.52    ,12.23    ,13.13     ,2.55     ,4.87     ,5.55     ,4.51     ,3.19     ,5.50     ,2.99     ,3.15
199206    ,-2.23    ,-7.52    ,-7.02    ,-1.65    ,-5.63    ,-2.12    ,-1.83    ,-3.13    ,-3.37     ,3.21    ,-2.24    ,-2.52     ,1.15    ,-0.89    ,-0.35    ,-1.09    ,-0.12    ,-1.26     ,7.74    ,-1.91     ,0.98    ,-4.09    ,-0.18     ,2.06    ,-5.11    ,-2.68    ,-1.18    ,-2.93    ,-2.26    ,-1.61    ,-4.20    ,-0.83
199207     ,4.07    ,-1.30    ,-1.38     ,5.48     ,0.65    ,-0.28    ,-5.54    ,-1.68     ,5.18    ,-0.98    ,-3.47    ,-3.45     ,2.07     ,3.52    ,-1.76    ,-0.25    ,-7.75    ,-3.99    ,-7.30    ,-5.38     ,0.71    ,-2.97    ,-5.03    ,-6.41    ,-0.79    ,-3.04     ,6.06    ,-9.46    ,-2.40    ,-5.37    ,-1.52    ,-0.14
199208   ,-11.85    ,-8.16    ,-5.63    ,-4.08    ,-8.60    ,-5.73   ,-10.30    ,-5.35    ,-5.96    ,-4.91    ,-5.17    ,-4.03    ,-5.10    ,-4.79    ,-6.23    ,-3.64    ,-7.05    ,-7.71    ,-6.40    ,-7.90    ,-4.40    ,-6.33    ,-6.66    ,-4.03    ,-9.00    ,-6.99    ,-3.15    ,-5.14    ,-7.57    ,-8.29    ,-4.27    ,-7.67
199209    ,-3.41     ,0.07    ,-2.73    ,-0.59    ,-7.21     ,1.13    ,-1.62    ,-0.33    ,-2.12    ,-0.68    ,-2.06    ,-1.59     ,2.81     ,1.43    ,-0.86    ,-1.49    ,-6.39    ,-0.92     ,1.49    ,-1.72    ,-2.91    ,-1.83    ,-0.78     ,0.86    ,-3.86    ,-2.60    ,-2.43    ,-1.70     ,0.98    ,-3.27    ,-2.99    ,-0.29
199210    ,-9.44    ,-4.62    ,-3.97    ,-2.55    ,-4.52     ,1.82    ,-0.71    ,-1.45   ,-13.77     ,2.66     ,1.90     ,1.75     ,0.16    ,-1.28     ,1.43     ,1.25     ,4.82     ,8.18     ,8.22     ,8.15    ,-4.15     ,6.66     ,9.57     ,5.79    ,-5.97    ,-3.00     ,5.98     ,6.45     ,0.28    ,-6.44     ,7.82     ,1.70
199211    ,-3.55    ,-2.77     ,1.09    ,-0.79    ,-1.61     ,3.14     ,0.30     ,1.94     ,1.68     ,3.38    ,-0.38     ,0.91    ,-5.72    ,-1.46     ,1.71     ,5.11    ,-0.79     ,0.36    ,-3.81    ,-4.98     ,2.06    ,-4.34    ,-5.84    ,-5.24     ,0.31    ,-0.43    ,-0.45    ,-5.52    ,-1.46    ,-1.30    ,-1.11     ,0.53
199212     ,3.63     ,6.15     ,4.08     ,4.00    ,-1.45    ,-0.32     ,3.60    ,-0.13    ,34.93     ,3.07     ,1.66     ,0.89    ,-4.58     ,4.44     ,1.96     ,2.55    ,-1.34    ,-4.87    ,-4.82    ,-4.92     ,4.65    ,-6.85    ,-5.68    ,-4.02     ,9.38     ,7.75    ,-0.71    ,-2.01     ,4.59    ,12.39     ,1.16    ,-2.75
199301     ,0.78    ,-2.02     ,1.73     ,7.47     ,5.60     ,0.33    ,-0.71     ,1.35    ,-7.77     ,1.85     ,4.38     ,2.02    ,-0.52     ,2.11    ,-0.11     ,2.67     ,1.69     ,2.74     ,2.68     ,3.84    ,-2.22     ,2.83     ,0.81     ,3.63    ,-2.96    ,-2.71     ,4.81    ,-0.67    ,-0.06    ,-2.28     ,2.62     ,3.13
199302    ,12.44     ,8.67     ,9.87     ,9.74     ,4.07     ,7.76     ,9.92     ,6.00     ,1.48     ,6.52     ,9.30     ,7.19     ,7.19     ,5.05     ,9.98     ,7.41     ,9.29     ,8.82     ,9.81    ,10.99     ,6.54     ,9.09    ,14.55     ,9.28     ,8.69     ,4.53     ,4.85    ,14.54     ,8.53     ,7.84     ,5.84     ,7.65
199303    ,11.79    ,14.61     ,7.87    ,11.57     ,7.30     ,2.32     ,7.16     ,4.34     ,2.30     ,6.63     ,6.55     ,1.64     ,7.38     ,8.30     ,7.18     ,5.03    ,-1.15     ,0.03    ,-1.27     ,4.80     ,2.87    ,-5.16    ,-3.32     ,0.04     ,4.84     ,3.63     ,4.75     ,5.51     ,9.77     ,3.57     ,0.73    ,12.36
199304     ,8.64    ,15.20     ,1.07    ,12.08     ,2.71    ,10.54    ,10.62     ,6.47    ,16.90     ,7.11     ,9.76     ,5.94    ,14.31     ,7.91     ,8.57     ,5.96     ,7.93     ,9.70    ,10.74     ,8.60     ,1.16     ,8.19     ,6.92    ,11.35     ,1.51     ,2.40     ,6.33     ,5.04    ,10.44    ,-0.04     ,3.96    ,-1.78
199305    ,-6.41     ,3.29    ,11.75     ,5.13     ,0.79     ,9.45    ,10.28     ,5.90     ,3.43     ,7.92    ,11.70     ,7.39    ,23.80     ,4.61    ,10.36     ,5.29     ,6.69    ,15.74     ,8.60     ,4.70     ,0.00    ,11.37     ,5.36     ,8.84     ,1.80    ,-0.01     ,2.00     ,8.17     ,3.98    ,-2.51     ,7.59     ,3.30
199306    ,-2.36    ,-6.47     ,4.22    ,-0.77     ,4.84     ,0.03     ,1.70     ,9.49    ,29.03    ,-2.74    ,-1.78    ,-2.00     ,0.95    ,-0.31     ,3.58    ,-1.30    ,-7.11    ,-3.27    ,-2.28    ,-5.19    ,-3.16    ,-2.48    ,-4.57    ,-5.14    ,-0.35    ,-0.51    ,-1.27    ,-3.10     ,0.21    ,-2.59    ,-2.30    ,-5.67
199307    ,10.45    ,16.69    ,17.02    ,23.29     ,1.65     ,4.45     ,1.02    ,-1.17     ,1.31     ,6.38     ,0.03     ,3.44    ,10.03     ,7.36     ,2.32     ,3.98    ,-1.82     ,9.03    ,-2.85    ,-2.10     ,4.00     ,0.36    ,-3.70    ,-1.64     ,8.00     ,2.42     ,3.20     ,8.69     ,8.88     ,7.53     ,0.05    ,-8.24
199308     ,8.42     ,8.61     ,1.75    ,-1.39     ,4.51     ,9.96     ,5.86     ,8.75     ,7.94     ,4.90     ,3.64     ,7.31     ,5.26     ,0.58     ,6.98     ,7.07     ,5.96    ,11.05    ,13.82     ,3.89     ,3.84    ,10.06     ,6.79     ,6.34     ,3.17     ,4.15     ,6.51     ,5.00    ,-1.09     ,7.80    ,13.68     ,6.52
199309    ,-9.90    ,-7.75   ,-10.07   ,-17.50     ,0.27    ,-2.34    ,-1.92    ,-2.82     ,2.05    ,-0.63    ,-2.45    ,-4.19    ,-9.07    ,-0.40    ,-1.81    ,-0.10     ,0.80     ,0.40     ,4.93     ,2.90    ,-6.26     ,1.27     ,2.56     ,6.44    ,-5.23    ,-2.22     ,5.12    ,-3.32    ,-2.68    ,-0.18     ,0.64    ,-0.39
199310     ,7.22    ,10.84    ,16.81    ,13.58    ,13.11     ,8.08    ,12.76    ,13.03    ,15.57     ,6.95     ,8.99    ,16.51     ,5.34    ,11.13     ,9.34    ,12.65    ,14.06    ,11.08    ,32.32    ,18.20    ,12.91    ,15.99    ,21.74    ,21.97    ,13.40     ,9.19    ,16.96    ,18.76    ,11.14    ,19.64    ,12.28    ,16.50
199311    ,-8.12    ,-3.34    ,-6.90    ,-8.56     ,2.50     ,1.31     ,1.31    ,-4.21     ,5.50     ,0.53    ,-0.57     ,4.57    ,-4.05    ,-0.69    ,-1.16     ,1.23     ,7.55    ,-6.41     ,3.41    ,-3.49    ,-2.17    ,-0.87     ,0.22     ,2.56    ,-1.99    ,-3.87    ,-2.20    ,-4.12    ,-5.52    ,-6.22    ,-0.31     ,0.25
199312    ,14.76    ,15.83    ,13.63    ,20.02    ,20.95    ,20.52    ,20.94    ,19.78    ,19.11    ,15.54    ,17.74    ,16.69    ,10.37     ,9.50    ,12.20    ,15.41    ,24.90    ,12.50    ,24.41    ,29.57    ,16.14    ,25.60    ,35.29    ,30.18    ,13.46    ,16.20    ,28.82    ,18.12    ,12.09    ,14.41    ,16.72    ,16.83
199401    ,13.24    ,18.22    ,18.57    ,24.64     ,9.74     ,2.95     ,2.81     ,0.58    ,12.13     ,6.83     ,5.48     ,1.34    ,15.78    ,10.06     ,1.12    ,-0.20     ,3.77     ,7.61    ,-3.90     ,1.80    ,11.82     ,0.32    ,-3.18    ,-5.30    ,10.41     ,4.27    ,-0.65     ,1.77     ,1.28     ,1.75    ,-3.69    ,-8.65
199402    ,-5.90    ,-2.34    ,-1.88    ,-1.16     ,2.01     ,5.36    ,-0.77     ,0.14     ,6.79    ,-0.24    ,-0.35    ,-3.56     ,3.89    ,-0.86    ,-0.91    ,-2.49    ,-3.92    ,-2.54    ,-8.41    ,-5.65    ,-3.52    ,-9.03    ,-9.41   ,-10.01    ,-4.92    ,-5.44    ,-6.04    ,-9.40    ,-5.81    ,-8.47    ,-6.74     ,0.17
199403    ,-9.58    ,-6.61   ,-15.87    ,-8.51   ,-12.84   ,-11.19   ,-10.24   ,-11.46   ,-16.45    ,-5.58   ,-10.13    ,-9.22   ,-12.35    ,-7.21    ,-6.66    ,-7.55   ,-13.69   ,-11.34   ,-13.86   ,-10.46    ,-9.48   ,-10.88    ,-9.46    ,-8.82    ,-4.52   ,-12.84    ,-9.30    ,-7.31    ,-4.23    ,-9.28    ,-7.34   ,-13.45
199404     ,2.87    ,-1.52    ,-0.44    ,-4.62    ,-0.72     ,5.12    ,-0.27     ,1.62     ,6.22     ,3.06     ,3.50     ,0.64    ,-2.51     ,0.13     ,0.82    ,-0.48     ,2.58     ,6.59     ,4.74    ,-0.61     ,2.42     ,3.46    ,-2.18    ,-2.04     ,1.14     ,3.51     ,0.67     ,5.45     ,2.32     ,6.60     ,6.06    ,-6.09
199405     ,0.67     ,2.65    ,-3.68     ,4.83     ,2.27     ,0.27     ,2.42    ,-2.92    ,-0.95     ,2.00     ,0.35     ,1.31     ,1.75     ,6.07    ,-0.18     ,0.03     ,1.71    ,-1.71     ,4.59     ,5.14     ,7.89     ,8.22     ,5.97     ,4.77     ,6.51     ,5.43     ,2.87    ,-0.18     ,5.02     ,6.72     ,2.30    ,10.68
199406     ,0.83    ,-5.22    ,-1.93    ,-7.26    ,-2.56    ,-2.41    ,-3.51    ,-2.05    ,-1.69    ,-3.94    ,-6.38    ,-4.14    ,-5.80    ,-1.33    ,-4.78    ,-5.24    ,-2.78    ,-6.16    ,-7.71   ,-10.54    ,-7.14    ,-6.19    ,-8.89   ,-10.43    ,-3.86    ,-4.56    ,-4.74    ,-5.59    ,-7.14    ,-4.37    ,-4.90    ,-2.37
199407     ,3.30     ,2.74     ,1.83     ,7.04    ,-2.31     ,2.12     ,3.72    ,-0.33     ,3.01     ,3.18     ,1.36     ,0.04    ,-3.84     ,2.53     ,1.35    ,-2.72     ,3.41     ,5.72     ,3.17     ,7.45     ,4.51     ,3.65    ,10.41     ,9.61     ,5.39     ,4.13     ,3.77     ,5.11     ,2.95     ,4.67     ,4.48     ,9.85
199408     ,0.10     ,0.99    ,-6.72    ,-4.67     ,1.73     ,4.69     ,1.78     ,1.36     ,3.08     ,1.57     ,3.65     ,0.85    ,-0.76     ,0.45     ,0.95     ,1.17     ,4.74     ,0.92     ,3.20     ,2.58     ,3.71     ,7.20     ,6.49     ,7.03     ,4.23     ,0.69     ,3.40     ,5.39     ,1.80     ,8.73     ,4.78    ,-6.76
199409    ,-1.73    ,-3.28    ,-4.23    ,-0.88     ,0.78     ,1.58     ,0.03    ,-2.61     ,0.54     ,0.28    ,-0.55    ,-0.21    ,-4.79    ,-2.56    ,-0.61    ,-2.93     ,5.34     ,0.81     ,1.55    ,-3.24    ,-3.46    ,-3.86    ,-2.78     ,0.07    ,-4.37    ,-3.66    ,-1.76     ,3.21    ,-2.45    ,-3.32    ,-5.07     ,0.65
199410    ,-1.39    ,-3.37    ,-4.00    ,-6.97    ,-1.07     ,0.19    ,-0.42     ,0.84     ,4.21     ,1.49    ,-1.23    ,-2.75     ,0.42    ,-2.29    ,-2.19    ,-1.59     ,3.93     ,9.90    ,-0.19    ,-0.54     ,2.36     ,2.37    ,-0.46     ,3.00     ,0.19     ,1.87     ,1.57     ,2.48     ,0.69     ,1.85     ,3.62    ,-6.13
199411    ,-6.48    ,-8.91   ,-10.61   ,-14.75    ,-6.11    ,-7.16    ,-8.84    ,-9.26    ,-4.14    ,-3.01    ,-5.82    ,-7.62    ,-5.64    ,-2.20    ,-3.87   ,-12.11    ,-7.65   ,-12.10   ,-15.79   ,-14.31    ,-5.43    ,-8.58   ,-11.73   ,-13.48    ,-1.38    ,-0.21    ,-4.49   ,-11.70    ,-7.19    ,-6.32    ,-9.45    ,-7.17
199412    ,-1.93    ,-2.53    ,-1.48    ,-2.67    ,-1.99    ,-2.93    ,-6.23    ,-2.50    ,-2.03     ,0.37    ,-3.72    ,-0.34    ,-3.48     ,0.09    ,-1.83    ,-4.11     ,1.57    ,-2.35    ,-4.50    ,-5.20     ,0.91     ,0.10    ,-0.30    ,-3.39     ,0.40     ,1.14     ,1.09    ,-5.59    ,-3.54     ,3.77    ,-1.61    ,-0.09
199501    ,-4.87    ,-7.58   ,-11.75    ,-6.66    ,-7.68    ,-6.82    ,-8.08    ,-9.35    ,-7.38    ,-7.35    ,-8.78   ,-11.61    ,-8.45    ,-4.17    ,-6.95   ,-10.08    ,-7.30   ,-12.03    ,-7.84   ,-10.38    ,-2.83    ,-8.37   ,-10.87   ,-10.50    ,-4.49    ,-9.72    ,-5.96    ,-8.50     ,2.07    ,-7.54    ,-6.63    ,-6.37
199502    ,-3.99    ,-1.93    ,-7.18    ,-6.32     ,6.06     ,0.94     ,1.16     ,1.03    ,-1.40     ,0.13     ,1.72     ,0.24    ,-1.68     ,1.00    ,-0.29     ,5.22     ,3.29     ,6.49    ,10.34    ,10.05     ,7.23     ,6.51    ,16.93    ,16.60     ,2.77     ,5.21     ,4.09    ,14.21    ,-1.07     ,1.96     ,5.87     ,0.38
199503     ,0.07    ,-2.33    ,-1.44    ,-6.81    ,-1.40     ,1.16    ,-0.40    ,-2.88     ,1.64    ,-3.03    ,-1.40    ,-1.89    ,-2.98     ,1.19    ,-2.20    ,-0.78     ,2.46    ,-1.73     ,0.91     ,1.55     ,2.18    ,-3.60     ,1.77     ,0.86    ,-0.85     ,3.45     ,0.64     ,2.08     ,0.34    ,-0.03     ,3.28    ,-1.52
199504     ,1.23    ,-1.60     ,1.29     ,0.87     ,1.54    ,-1.20    ,-1.48     ,1.32     ,5.50     ,1.82    ,-0.84    ,-3.06     ,2.41     ,3.82     ,4.49     ,0.30     ,5.51     ,2.47    ,-4.23    ,-3.65     ,3.91     ,3.39    ,-1.44    ,-3.53     ,4.91     ,1.56     ,2.40    ,-3.40     ,4.75     ,8.14     ,0.40    ,-8.31
199505    ,-2.36    ,-0.79    ,-1.37     ,3.28    ,-1.77    ,-0.87     ,1.98     ,0.56     ,0.49     ,0.78     ,0.76     ,2.62     ,0.80    ,-1.87     ,1.77     ,2.73     ,2.19    ,12.43     ,6.98     ,8.61     ,2.87     ,0.44    ,13.59    ,14.06    ,-1.18     ,2.60     ,2.12     ,7.99    ,-0.24    ,-0.88     ,8.46     ,4.86
199506    ,-0.26    ,-5.76    ,-4.78    ,-6.31     ,2.23     ,1.38    ,-1.07     ,0.65    ,-2.87    ,-2.53     ,0.06     ,4.33     ,0.93    ,-1.28    ,-2.45     ,5.53    ,-0.04    ,-2.74    ,-4.00    ,-3.02     ,0.18    ,-1.79    ,-2.84     ,0.08    ,-0.50    ,-1.90    ,-2.28    ,-2.29    ,-4.15    ,-2.06    ,-4.44     ,3.53
