This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,WML
200802    ,1.79
200803    ,0.21
200804    ,0.14
200805    ,4.40
200806    ,9.43
200807   ,-2.24
200808   ,-4.99
200809    ,3.77
200810   ,10.12
200811    ,2.41
200812   ,-0.74
200901    ,3.30
200902    ,4.49
200903  ,-10.31
200904  ,-26.10
200905   ,-7.72
200906    ,2.49
200907   ,-1.58
200908   ,-9.27
200909   ,-2.76
200910    ,3.71
200911    ,1.85
200912    ,0.24
201001    ,0.57
201002    ,0.23
201003    ,5.13
201004    ,2.20
201005    ,0.98
201006    ,1.69
201007   ,-1.91
201008    ,3.80
201009    ,4.35
201010    ,0.19
201011    ,7.91
201012    ,1.86
201101   ,-5.51
201102   ,-0.17
201103    ,2.18
201104    ,2.28
201105    ,0.61
201106    ,2.34
201107    ,1.59
201108   ,-0.43
201109   ,-1.18
201110    ,0.10
201111    ,6.21
201112    ,2.85
201201   ,-8.97
201202   ,-1.83
201203    ,3.83
201204    ,8.95
201205    ,7.42
201206   ,-3.75
201207    ,4.66
201208   ,-2.93
201209   ,-0.91
201210    ,0.57
201211    ,2.38
201212   ,-0.99
201301   ,-0.39
201302    ,4.54
201303    ,2.66
201304    ,0.99
201305    ,0.50
201306    ,1.20
201307    ,3.59
201308   ,-2.35
201309    ,2.42
201310    ,1.97
201311    ,2.55
201312    ,1.49
201401    ,2.31
201402    ,2.17
201403   ,-0.99
201404   ,-3.53
201405   ,-0.24
201406    ,0.31
201407   ,-0.58
201408    ,0.33
201409    ,2.48
201410    ,1.08
201411   ,-0.62
201412    ,1.99
201501    ,3.49
201502   ,-3.96
201503    ,1.57
201504   ,-2.14
201505    ,3.56
201506    ,0.92
201507    ,3.54
201508    ,2.11
201509    ,4.28
201510   ,-1.56
201511    ,2.60
201512    ,4.01
201601    ,1.15
201602   ,-0.71
201603   ,-1.48
201604   ,-3.91
201605    ,3.81
201606    ,7.10
201607   ,-0.09
201608   ,-1.76
201609    ,3.14
201610   ,-0.83
201611   ,-2.04
201612   ,-1.97
201701    ,2.83
201702   ,-1.60
201703    ,0.02
201704    ,0.23
201705   ,-0.42
201706    ,1.59
201707    ,1.96
201708    ,1.33
201709    ,0.62
201710    ,1.23
201711    ,0.29
201712   ,-1.40
201801    ,2.95
201802    ,0.61
201803   ,-0.43
201804    ,0.69
201805    ,2.00
201806   ,-0.65
201807   ,-0.55
201808    ,2.40
201809    ,1.59
201810   ,-1.46
201811   ,-2.08
201812    ,3.28
201901   ,-2.21
201902   ,-1.13
201903    ,4.51
201904   ,-4.40
201905    ,8.49
201906   ,-0.45
201907    ,1.39
201908    ,3.29
201909   ,-2.27
201910   ,-1.08
201911    ,0.67
201912    ,1.65
202001    ,3.59
202002    ,0.71
202003    ,7.62
202004    ,1.07
202005    ,2.91
202006    ,0.75



 Annual Factors: January-December
,WML
1991   ,12.62
1992   ,15.10
1993    ,5.53
1994   ,-1.74
1995   ,24.47
1996   ,20.99
1997   ,11.65
1998   ,18.15
1999   ,36.06
2000  ,-21.64
2001   ,22.27
2002   ,43.68
2003  ,-15.31
2004    ,9.47
2005   ,18.49
2006   ,16.24
2007   ,19.79
2008   ,14.48
2009  ,-49.82
2010   ,29.66
2011    ,9.05
2012   ,13.67
2013   ,25.03
2014    ,4.26
2015   ,19.83
2016    ,3.39
2017    ,8.74
2018    ,6.87
2019   ,11.78
