This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 201509 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
19290709,   0.85
19290710,  -0.41
19290711,  -0.20
19290712,  -0.71
19290713,  -0.08
19290715,  -0.15
19290716,  -0.10
19290717,   0.75
19290718,   0.57
19290719,  -1.32
19290720,  -0.68
19290722,  -0.37
19290723,   0.92
19290724,   0.23
19290725,   0.94
19290726,   0.01
19290727,   0.59
19290729,   0.96
19290730,   0.60
19290731,   0.16
19290801,   0.29
19290802,  -0.04
19290803,   0.14
19290805,   0.80
19290806,   0.24
19290807,   0.54
19290808,  -0.25
19290809,   0.92
19290810,   0.42
19290812,   0.33
19290813,   0.11
19290814,   0.64
19290815,   0.00
19290816,  -0.21
19290817,  -0.23
19290819,   1.47
19290820,   0.69
19290821,   0.75
19290822,   0.42
19290823,  -0.40
19290824,   0.15
19290826,  -0.10
19290827,   0.38
19290828,   0.11
19290829,   0.19
19290830,   0.20
19290903,   0.76
19290904,   0.71
19290905,   2.57
19290906,  -0.64
19290907,  -0.16
19290909,   0.07
19290910,   0.90
19290911,   0.26
19290912,   0.36
19290913,  -0.17
19290914,   0.14
19290916,  -0.03
19290917,   0.55
19290918,   0.35
19290919,  -0.16
19290920,  -0.67
19290921,  -0.44
19290923,   0.53
19290924,   0.55
19290925,  -0.32
19290926,  -0.16
19290927,   0.21
19290928,   0.31
19290930,  -0.08
19291001,   0.26
19291002,  -0.17
19291003,  -0.83
19291004,  -0.88
19291005,   3.04
19291007,   1.71
19291008,  -0.32
19291009,  -0.10
19291010,   0.52
19291011,  -0.34
19291014,   0.24
19291015,   0.30
19291016,  -0.60
19291017,  -0.10
19291018,  -1.56
19291019,  -0.86
19291021,  -0.73
19291022,   2.14
19291023,  -4.02
19291024,  -2.53
19291025,   3.95
19291026,   1.07
19291028,  -8.63
19291029,  -4.96
19291030,  21.32
19291031,  13.05
19291104,  -0.77
19291106,  -7.37
19291107,   4.35
19291108,   2.61
19291111,  -4.12
19291112,  -3.32
19291113,  -2.81
19291114,  12.85
19291115,   7.57
19291118,   0.86
19291119,   2.30
19291120,   2.76
19291121,   1.63
19291122,   0.53
19291125,   0.00
19291126,  -1.50
19291127,   1.14
19291202,   0.03
19291203,   0.14
19291204,  -0.33
19291205,   0.50
19291206,   0.72
19291207,   0.94
19291209,   2.71
19291210,   0.74
19291211,   1.24
19291212,   3.94
19291213,  -0.78
19291214,  -0.53
19291216,   2.03
19291217,  -0.13
19291218,   0.26
19291219,   0.52
19291220,  -0.68
19291221,   1.90
19291223,   1.01
19291224,  -0.62
19291226,   0.54
19291227,   0.73
19291228,   0.18
19291230,  -0.65
19291231,   4.65
19300102,   1.92
19300103,   0.92
19300104,   0.99
19300106,   1.55
19300107,   0.84
19300108,   0.43
19300109,  -0.07
19300110,   0.92
19300111,   0.44
19300113,   0.85
19300114,   0.52
19300115,   0.18
19300116,  -0.40
19300117,   1.34
19300118,   0.68
19300120,  -0.47
19300121,  -0.37
19300122,   0.06
19300123,   0.92
19300124,   0.08
19300125,   0.64
19300127,   0.22
19300128,   0.88
19300129,  -0.87
19300130,   0.02
19300131,   0.18
19300201,   0.07
19300203,   1.05
19300204,  -0.36
19300205,  -0.56
19300206,   1.07
19300207,   0.74
19300208,  -0.45
19300210,   0.37
19300211,  -0.72
19300213,  -0.36
19300214,   0.42
19300215,  -0.05
19300217,  -0.95
19300218,   1.28
19300219,   0.71
19300220,   1.57
19300221,  -0.03
19300224,   0.74
19300225,   0.86
19300226,   0.01
19300227,  -0.24
19300228,  -0.18
19300301,  -0.11
19300303,   0.87
19300304,   0.55
19300305,   0.81
19300306,  -0.35
19300307,   0.21
19300308,  -0.35
19300310,   0.09
19300311,   0.19
19300312,   0.62
19300313,  -1.22
19300314,   0.36
19300315,   0.14
19300317,  -1.78
19300318,   0.99
19300319,   0.81
19300320,   0.70
19300321,   0.03
19300322,   0.26
19300324,  -0.78
19300325,  -0.23
19300326,   0.12
19300327,   0.43
19300328,  -0.22
19300329,   0.11
19300331,   0.08
19300401,   0.87
19300402,   1.40
19300403,  -0.72
19300404,  -0.67
19300405,  -0.25
19300407,   0.62
19300408,   1.47
19300409,  -0.37
19300410,   0.48
19300411,  -0.06
19300412,   0.26
19300414,   0.41
19300415,   0.89
19300416,   0.65
19300417,  -0.41
19300421,  -0.91
19300422,   0.16
19300423,  -1.01
19300424,  -0.35
19300425,  -0.76
19300426,  -0.70
19300428,   0.30
19300429,  -0.34
19300430,  -0.95
19300501,   0.86
19300502,   1.56
19300503,  -0.52
19300505,  -0.49
19300506,   3.31
19300507,   0.89
19300508,   1.85
19300509,   0.76
19300510,   1.58
19300512,   1.26
19300513,   0.10
19300514,   0.91
19300515,   0.37
19300516,   0.25
19300517,   0.52
19300519,  -0.19
19300520,  -0.19
19300521,  -0.04
19300522,   0.57
19300523,   1.24
19300524,   0.59
19300526,   1.03
19300527,   0.66
19300528,  -0.05
19300529,  -0.34
19300602,   0.37
19300603,   0.94
19300604,   0.11
19300605,   0.46
19300606,   0.55
19300607,   0.15
19300609,  -1.91
19300610,   3.50
19300611,  -0.80
19300612,  -0.36
19300613,   1.52
19300614,  -0.65
19300616,  -2.92
19300617,   0.63
19300618,  -2.57
19300619,   6.96
19300620,   0.06
19300621,  -1.68
19300623,   2.77
19300624,  -0.70
19300625,   0.66
19300626,   3.19
19300627,  -0.49
19300628,   1.06
19300630,   2.94
19300701,   1.33
19300702,   1.73
19300703,   0.33
19300707,  -0.56
19300708,   1.25
19300709,   1.09
19300710,   2.12
19300711,   0.21
19300712,   0.71
19300714,   1.55
19300715,   0.83
19300716,   0.64
19300717,   1.06
19300718,   0.28
19300719,   1.32
19300721,   2.71
19300722,   0.42
19300723,   0.02
19300724,   1.29
19300725,   0.79
19300726,  -0.14
19300728,   0.29
19300729,   0.63
19300730,   2.65
19300731,   0.26
19300801,   0.63
19300802,   0.09
19300804,   0.34
19300805,   0.67
19300806,   0.87
19300807,   0.62
19300808,   0.82
19300809,   0.67
19300811,   0.89
19300812,   0.00
19300813,   1.66
19300814,   1.44
19300815,   1.75
19300816,   1.47
19300818,  -0.19
19300819,   1.08
19300820,   1.36
19300821,   0.21
19300822,   0.66
19300823,   0.64
19300825,   0.32
19300826,   0.05
19300827,   0.63
19300828,   0.08
19300829,   0.59
19300902,   0.77
19300903,   1.26
19300904,   0.44
19300905,  -1.41
19300906,   0.84
19300908,   1.13
19300909,   0.22
19300910,   0.30
19300911,  -0.08
19300912,   2.30
19300913,   0.29
19300915,   0.96
19300916,   0.75
19300917,   0.62
19300918,   1.09
19300919,   1.00
19300920,   0.61
19300922,   0.11
19300923,   1.22
19300924,  -0.14
19300925,  -1.06
19300926,  -1.50
19300927,  -0.42
19300929,  -0.72
19300930,  -0.91
19301001,   6.28
19301002,   0.67
19301003,   2.20
19301004,   1.04
19301006,  -1.77
19301007,  -0.08
19301008,  -0.26
19301009,  -3.58
19301010,   2.34
19301011,   0.56
19301014,   1.83
19301015,   2.48
19301016,   0.23
19301017,  -0.83
19301018,  -1.15
19301020,   4.29
19301021,  -2.03
19301022,  -0.56
19301023,   1.70
19301024,   3.05
19301025,   1.81
19301027,   1.54
19301028,   0.29
19301029,   0.09
19301030,   0.27
19301031,  -0.96
19301101,   0.90
19301103,   0.90
19301105,  -0.19
19301106,   1.69
19301107,  -0.83
19301108,   0.54
19301110,  -1.20
19301111,   2.99
19301112,   2.29
19301113,   4.16
19301114,   2.09
19301115,   2.22
19301117,   1.97
19301118,   1.01
19301119,   1.97
19301120,   0.50
19301121,   1.51
19301122,   0.96
19301124,   0.36
19301125,   1.52
19301126,   1.18
19301128,   0.40
19301129,   0.61
19301201,   0.56
19301202,  -0.25
19301203,   1.27
19301204,   1.75
19301205,   0.99
19301206,   1.19
19301208,   0.33
19301209,   0.19
19301210,   0.35
19301211,  -0.08
19301212,  -0.18
19301213,  -1.40
19301215,   1.00
19301216,  -1.30
19301217,   6.73
19301218,   3.71
19301219,   2.28
19301220,   2.36
19301222,   0.12
