This file was created by CMPT_IND_RETS using the 201507 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
198306,   2.61,  10.12,   1.45,   6.40,   6.05,  -1.19,   5.99,   6.80,  -1.15,   1.27
198307,  -2.71,  -3.68,  -2.61,  -2.42,  -5.36,  -5.21,  -3.42,  -5.68,   0.46,  -3.81
198308,   0.24,  -2.87,   0.12,   5.96,  -1.43,   2.08,  -5.12,  -1.56,   0.49,  -1.14
198309,   4.21,   4.17,   2.23,  -4.92,   2.08,   0.76,   2.15,   1.22,   3.87,   1.34
198310,  -0.41,   0.29,  -2.49,  -2.29,  -6.93,  -5.25,  -1.74,  -2.25,   2.47,  -4.21
198311,   1.87,   3.38,   5.77,  -1.69,   1.89,   3.07,   4.12,  -3.53,  -2.53,   4.31
198312,  -0.79,   0.91,  -1.20,   1.83,   0.30,  -3.06,  -4.89,  -3.65,  -4.46,  -1.21
198401,  -0.89,  -5.48,  -3.68,   9.61,  -6.18,   4.03,  -6.06,  -0.75,   0.86,  -1.81
198402,  -6.13,  -6.58,  -7.16,   2.97,  -6.32,  -3.80,  -4.82,  -2.47,  -4.34,  -5.21
198403,   1.17,   0.06,   3.03,   0.10,   1.78,  -5.57,   1.09,  -0.84,  -1.05,   2.07
198404,   0.27,   1.19,  -0.20,   3.91,  -0.47,   2.15,   0.09,   2.18,  -0.92,  -2.27
198405,  -2.76,  -6.21,  -6.26,  -6.04,  -5.92,  -3.61,  -5.51,  -7.07,  -1.97,  -7.21
198406,   5.87,   1.64,   2.98,  -2.36,   1.68,  10.77,   7.20,   3.76,  -0.49,   1.81
198407,  -1.87,   2.46,  -1.73,  -7.47,  -2.34,   2.85,  -0.05,  -4.00,  -0.59,  -1.95
198408,   8.31,   9.37,  11.34,  12.67,  13.45,   7.08,   9.55,   9.65,   6.58,  10.74
198409,   0.93,  -0.43,  -2.64,   2.04,  -3.96,   2.72,  -0.12,  -4.45,   4.08,   1.81
198410,   1.25,   2.04,   0.32,  -5.00,  -0.91,  -3.65,  -0.87,   1.50,   2.58,   0.56
198411,  -0.09,  -3.90,  -1.96,  -1.72,  -3.89,   0.39,  -3.14,  -0.58,   2.08,  -0.63
198412,   2.13,   4.49,   1.92,  -0.71,   2.34,   4.01,   0.55,   2.65,   1.85,   3.17
198501,   4.83,   9.67,   8.26,   6.07,  12.51,   5.12,  13.10,   8.13,   1.79,   9.64
198502,   4.68,  -2.32,   0.86,   3.03,  -1.67,   3.30,   1.75,   3.07,   0.55,   1.86
198503,   4.37,  -5.31,  -2.93,   1.40,  -6.10,   3.37,  -0.69,   2.94,   5.27,  -0.61
198504,  -2.25,  -3.60,  -1.68,   3.64,  -3.66,  -0.94,  -0.02,  -1.84,   1.15,   1.33
198505,   7.55,   5.10,   5.59,  -0.33,   2.46,   8.29,   9.28,   9.10,   4.56,   6.06
198506,   2.39,   1.43,   1.31,  -0.88,  -0.76,   3.62,   1.43,   2.17,   2.92,   2.52
198507,  -2.72,   2.24,   3.34,  -0.68,   4.40,  -5.05,  -4.18,  -0.54,  -5.19,  -0.29
198508,   0.46,  -3.16,  -1.69,   0.44,  -2.89,   0.41,  -0.93,  -1.24,   1.01,  -0.79
198509,  -0.97,  -3.58,  -4.10,  -1.42,  -4.82,  -4.80,  -4.43,  -3.97,  -5.98,  -5.26
198510,   3.45,   0.68,   3.15,   5.58,   3.00,   3.49,   6.66,   3.11,   5.69,   6.17
198511,   8.10,   9.43,   7.34,  -0.33,   8.27,   7.26,   7.59,   9.32,   3.35,   7.13
198512,   5.16,   6.81,   4.34,  -3.26,   8.19,   5.45,   4.45,   3.36,   4.21,   4.13
198601,   1.68,   2.02,   1.43,  -7.13,  -0.31,  -4.30,   1.37,   1.01,   3.32,   3.40
198602,  10.57,  10.20,   9.73,  -0.32,   4.66,   7.30,   7.40,   5.64,   5.71,   8.10
198603,   7.76,   7.84,   5.83,  -0.10,  -0.13,   3.21,   8.54,  11.99,   3.37,   5.44
198604,   0.32,  -3.69,  -1.83,   0.41,   3.87,   1.90,   0.06,   0.63,  -4.29,  -2.79
198605,   8.62,   2.75,   4.04,   6.20,   0.67,   4.73,   9.64,   6.88,   2.82,   4.48
198606,   6.00,  -1.53,  -0.16,  -2.43,  -4.04,   4.90,   3.79,   5.56,   4.49,   1.14
198607,  -5.80,  -9.19,  -7.39,  -5.70,  -8.38,  -3.49,  -9.63,  -5.46,   4.70,  -6.58
198608,   2.43,   7.06,   5.70,  15.71,   6.62,   6.80,   1.49,   3.74,   7.23,   6.69
198609, -11.06,  -8.46,  -6.92,  -1.01,  -7.12,  -9.92,  -8.48, -12.67,  -9.60,  -9.06
198610,   8.71,   6.29,   5.91,   1.71,   0.58,   4.32,   7.34,   7.88,   4.82,   4.10
198611,   0.54,   4.40,   2.02,   2.14,   3.18,   3.87,   1.62,   1.01,  -0.08,  -0.83
198612,  -3.47,  -2.51,  -2.11,  -0.55,  -3.76,  -4.38,  -6.35,  -1.36,  -3.92,  -2.85
198701,  14.36,  18.65,  14.23,  13.78,  16.43,   4.99,  11.42,  13.05,   8.88,  11.00
198702,   5.47,   3.07,   4.42,  -2.65,   9.12,  -0.03,   9.64,  11.01,  -2.75,   4.47
198703,   0.82,   4.38,   3.07,  12.19,   2.63,   0.76,   1.67,   0.05,  -2.27,  -0.59
198704,  -3.75,   3.92,  -1.46,  -0.02,   4.36,  -2.75,  -2.94,  -2.51,  -4.75,  -4.51
198705,   2.40,  -1.75,   0.15,   2.31,   0.03,   3.26,  -0.33,   0.93,  -2.57,  -0.24
198706,   6.55,   2.73,   4.91,   5.66,  -0.05,   6.36,   6.44,   4.66,   2.76,   4.31
198707,   4.99,   6.80,   7.12,   3.17,   1.01,   5.58,   5.79,   5.67,  -2.13,   3.50
198708,   3.51,   5.37,   2.35,   1.03,   7.15,   5.05,   3.13,   1.92,   2.97,   4.12
198709,  -2.96,  -4.19,   0.23,  -3.92,  -2.76,   2.53,  -6.54,  -2.61,  -2.89,  -2.03
198710, -21.12, -27.10, -27.40, -19.31, -25.95, -12.75, -28.33, -20.50,  -7.38, -23.72
198711,  -8.35,  -8.96,  -5.64, -11.55, -10.14,  -8.98,  -8.77,  -9.65,  -3.24,  -6.89
198712,   7.24,   8.23,  10.68,   6.54,  11.78,   3.67,   8.42,   5.21,  -0.18,   5.07
198801,   2.82,   4.26,   0.26,   8.56,  -2.46,   9.28,   5.50,   6.28,   9.26,   6.23
198802,   5.72,   5.82,   7.05,   2.59,   7.11,   1.27,  10.24,   3.75,  -2.15,   3.27
198803,  -1.82,  -4.47,  -1.33,   2.39,  -4.73,  -4.23,  -1.10,  -2.62,  -3.86,  -1.65
198804,  -0.19,   2.65,   1.53,   4.34,   2.57,   0.06,   1.65,  -2.05,  -0.77,  -0.53
198805,  -0.59,   0.78,  -0.78,  -1.44,  -1.64,   2.11,  -1.66,  -0.65,   2.77,   0.68
198806,   3.10,   7.96,   7.27,  -2.13,   9.30,   2.60,   6.60,   2.52,   2.58,   5.68
198807,   1.52,  -1.17,  -2.83,   3.37,  -5.13,  -0.41,  -1.22,   0.38,  -0.73,  -0.71
198808,  -0.49,  -7.18,  -4.86,  -2.49,  -8.55,  -3.21,  -2.97,  -1.46,  -0.93,  -1.17
198809,   6.17,   3.79,   3.23,  -2.51,   2.79,   6.82,   7.99,   3.78,   2.10,   3.87
198810,   8.04,   2.95,   0.59,   1.65,  -0.08,   2.38,  -0.09,   1.05,   2.12,  -0.19
198811,  -1.91,  -1.45,  -2.60,  -1.29,  -3.50,   0.18,  -3.09,  -2.54,  -1.32,  -2.39
198812,   3.24,   0.06,   2.88,   1.74,   4.80,   1.05,   1.38,   1.68,   0.38,   0.58
198901,   5.57,   7.14,   7.06,   5.95,   7.03,   8.64,   6.23,   6.64,   2.30,   6.70
198902,  -1.59,  -3.56,  -2.52,  -2.08,  -4.07,  -1.36,  -2.04,  -1.42,  -2.58,  -0.62
198903,   5.14,  -1.51,   0.98,   3.73,  -5.57,   5.18,   2.78,   4.64,  -0.06,   3.10
198904,   5.66,   0.02,   5.25,   2.48,   5.16,   9.15,   5.41,   5.27,   3.43,   4.47
198905,   5.17,   1.70,   3.08,   1.40,   2.05,   5.67,   4.97,   3.01,   4.61,   3.94
198906,   1.19,   1.15,  -2.93,  -1.04,  -3.38,  -0.35,  -2.15,  -2.88,   2.83,   0.66
198907,  11.88,   4.69,   7.46,   3.54,   2.91,   8.16,   8.80,  13.75,   5.43,   7.98
198908,  -2.14,   4.88,   4.02,   2.17,   2.15,   0.91,   2.46,   0.09,  -1.56,   3.20
198909,  -0.82,  -4.70,  -2.86,   1.32,  -2.75,   3.50,  -2.30,   2.24,  -0.04,   1.18
198910,  -2.57,  -6.13,  -4.50,   0.13,  -4.49,  -2.40,  -4.21,   0.32,   0.60,  -5.03
198911,   1.45,  -1.77,   2.65,   3.25,  -2.18,   1.88,   1.13,   4.29,   2.55,  -0.21
198912,   1.10,  -1.64,   2.72,   5.76,  -1.19,   5.37,   1.15,   0.84,   4.27,  -1.80
199001,  -9.51,  -4.32,  -6.42,  -4.35,  -1.33, -13.68,  -6.36,  -7.47,  -5.74,  -9.00
199002,  -0.61,   4.43,   2.01,   2.27,   3.70,  -0.46,   1.66,  -2.33,  -0.43,   2.29
199003,   4.21,   2.78,   3.73,  -0.59,   4.39,   3.85,   5.18,   3.70,  -1.30,  -0.59
199004,  -0.35,  -4.54,  -3.00,  -3.72,  -2.04,  -3.88,  -2.02,   0.10,  -5.87,  -3.69
199005,   8.83,   7.08,   7.56,   5.10,  12.14,   9.27,  11.44,  12.38,   4.59,   8.80
199006,   1.74,  -2.39,  -0.73,  -2.45,  -1.25,  -5.01,   1.53,   4.32,   0.23,  -1.85
199007,  -0.90,  -3.96,   0.09,   7.93,  -7.46,  -5.01,  -4.11,   2.43,   0.43,  -3.68
199008,  -7.58, -14.95, -12.52,  -1.81, -12.38, -10.88, -12.43,  -7.11,  -7.32, -11.69
199009,  -4.43, -10.72,  -8.26,  -1.67,  -6.73,   0.95,  -8.49,  -4.40,  -0.01, -10.23
199010,   2.35,  -3.90,  -1.96,  -4.36,  -3.56,   2.31,  -3.21,   1.19,   6.70,  -6.66
199011,   6.27,   3.18,   6.89,   0.83,  10.76,   2.95,  10.07,   9.22,   1.63,  10.36
199012,   4.11,  -0.67,   4.59,  -2.27,   4.08,   1.30,   3.26,   2.48,   0.21,   5.08
199101,   5.07,   6.63,   6.32,  -2.24,  14.92,  -0.20,   9.28,   4.45,  -1.79,   7.27
199102,  10.09,   9.72,   5.41,   7.60,   6.09,   3.29,   7.83,   9.61,   4.13,   9.45
199103,   4.49,   1.05,   1.23,   1.22,   0.65,   1.98,   8.49,   5.28,   1.24,   2.80
199104,  -1.02,  -2.69,   0.26,   2.33,  -2.93,   0.65,   1.86,  -1.30,  -0.54,   1.10
199105,   3.40,  14.25,   6.91,  -2.13,   3.29,  -1.57,   7.33,   4.40,  -0.50,   4.78
199106,  -5.22,  -4.57,  -4.35,  -3.75,  -8.88,  -2.25,  -4.26,  -4.37,  -2.90,  -5.47
199107,   5.61,  -0.72,   3.05,   4.87,   4.59,   2.71,   5.29,   8.37,   3.56,   4.50
199108,   5.20,  -2.59,   1.52,   0.97,   2.48,   0.71,   3.47,   2.60,   2.83,   2.88
199109,  -3.51,  -2.79,  -2.48,  -0.75,  -1.35,   0.20,  -3.31,  -0.53,   3.21,  -0.78
199110,  -0.68,  -2.32,   1.44,   1.89,   1.95,   1.64,  -2.05,   6.57,   0.85,   2.18
199111,  -0.75,  -8.45,  -5.83,  -8.45,  -4.70,  -5.04,  -1.40,  -2.73,   1.23,  -5.56
199112,  14.37,   7.47,  11.25,   1.88,   9.04,   9.37,  12.92,  16.26,   4.50,  12.33
199201,  -3.13,  10.16,   2.12,  -4.26,   6.61,  -2.99,   0.25,  -5.60,  -4.93,   1.98
199202,   0.96,  11.80,   1.70,  -1.44,   3.57,  -1.33,   2.43,  -2.79,  -1.80,   2.95
199203,  -1.82,   0.70,  -1.47,  -2.86,  -5.23,  -1.34,  -1.41,  -5.67,  -1.13,  -2.37
199204,   0.67,   7.61,   2.91,   9.35,  -1.05,   6.36,  -3.56,  -2.20,   2.28,   0.39
199205,   1.22,  -2.05,  -0.89,   2.28,  -0.27,  -1.82,  -0.01,   0.85,   1.94,   1.33
199206,  -3.15,   1.80,  -3.54,  -3.55,  -4.17,   0.87,  -1.98,  -4.92,   0.00,  -0.24
199207,   4.59,   0.18,   2.93,   5.24,   2.96,   4.93,   3.75,   5.68,   6.30,   3.06
199208,   0.70,  -9.82,  -3.90,   1.69,  -4.84,  -1.20,  -0.72,  -3.59,  -1.00,  -3.62
199209,   0.82,   0.18,   1.62,   0.09,   3.28,   1.48,   3.96,  -5.06,   0.29,   3.24
199210,  -0.92,  -0.20,   0.74,  -3.56,   2.11,  -0.96,   4.24,   3.28,  -0.77,   2.84
199211,   3.43,   8.36,   3.57,  -3.52,   6.03,   4.13,   7.03,   4.63,  -0.77,   5.80
199212,  -0.17,   3.24,   1.28,   1.86,  -0.08,   5.15,   0.55,  -1.54,   2.16,   3.64
199301,  -0.85,   9.26,  -0.11,   2.73,   4.83,   0.84,  -0.04,  -6.90,   2.12,   3.15
199302,  -2.19,  -0.53,   1.29,   5.06,  -0.51,   5.58,  -1.66,  -9.20,   5.70,   0.24
199303,  -0.29,   5.37,   1.91,   4.03,   2.13,   2.96,   2.68,   0.55,   1.26,   3.69
199304,  -9.31,   2.09,  -0.16,   1.16,  -3.71,  -3.23,  -8.21,   1.24,  -0.47,  -3.33
199305,   2.47,   0.86,   2.02,   0.88,   8.61,   4.09,   5.69,   3.32,  -0.55,   1.51
199306,  -1.06,   3.22,  -0.51,  -1.17,  -0.49,   4.35,  -2.98,  -3.20,   2.70,   2.04
199307,  -2.42,   1.49,  -0.10,   0.45,  -3.91,   1.81,   0.58,  -6.06,   1.62,   1.93
199308,   4.06,   0.28,   3.09,   3.37,   6.28,   5.32,   3.77,   2.76,   3.14,   3.25
199309,  -2.09,   0.74,  -2.20,   1.39,   1.28,  -0.71,  -0.37,   0.66,  -1.03,   1.54
199310,   6.02,   7.33,   3.09,  -1.90,   1.58,   2.28,   4.54,   5.93,  -2.26,  -2.41
199311,   0.42,   0.64,   0.84,  -6.71,  -0.11,  -6.18,   0.49,   0.84,  -6.08,  -2.99
199312,   1.20,   4.41,   3.54,   0.48,   2.93,  -0.75,  -2.13,   2.35,   1.17,   2.42
199401,  -0.55,   6.81,   4.73,   4.80,   4.70,   1.73,   0.55,   1.71,  -1.46,   4.27
199402,  -1.43,  -4.56,  -0.91,  -3.77,   1.56,  -5.66,   1.82,  -5.77,  -5.55,  -4.08
199403,  -4.39,  -6.50,  -4.58,  -3.68,  -3.94,  -4.02,  -4.69,  -7.00,  -4.48,  -4.47
199404,   1.17,  -0.63,   0.01,   4.10,  -1.62,   1.01,   0.17,   2.35,   1.75,   1.12
199405,  -1.54,  -2.99,   1.77,   0.00,   1.97,   1.52,  -2.08,   4.05,  -5.94,   2.77
199406,  -2.18,  -3.52,  -2.76,  -2.73,  -5.28,   0.32,  -2.71,  -3.95,  -3.69,  -2.82
199407,   2.86,   3.50,   4.48,   3.28,   3.84,   2.92,   0.72,   0.97,   4.76,   2.51
199408,   5.86,  -0.44,   4.42,  -0.90,   9.23,   1.03,   4.35,  10.40,   0.03,   3.24
199409,  -0.68,  -5.15,  -1.84,  -2.13,  -0.55,  -1.47,  -2.35,   1.60,  -3.36,  -4.41
199410,   2.08,  -1.69,   0.49,   7.30,   7.24,  -0.37,   1.13,   0.67,   1.26,  -0.02
199411,  -1.88,  -5.30,  -5.72,  -5.63,  -2.24,  -5.59,  -3.57,   0.22,  -0.46,  -5.41
199412,   1.00,   3.59,   3.85,  -1.04,   2.42,   0.50,  -2.89,   0.27,  -0.26,   1.25
199501,   1.74,  -6.06,  -0.50,   0.21,  -0.85,   3.90,   1.46,   6.04,   5.83,   4.53
199502,   2.83,   4.81,   5.20,   3.73,   6.69,   1.37,   2.49,   2.03,   0.22,   4.65
199503,   2.36,   1.30,   3.29,   5.22,   4.48,  -0.01,   3.40,   2.55,  -2.31,   1.79
199504,   1.77,   1.13,   2.91,   2.32,   8.28,   1.20,  -1.74,   2.91,   1.97,   1.46
199505,   4.53,   4.55,   2.89,   3.27,   2.97,   0.51,   2.55,   1.38,   5.42,   4.24
199506,   1.36,   0.67,   1.89,  -3.13,   9.77,   3.57,   4.86,   4.34,  -0.99,   1.99
199507,   1.18,   2.44,   3.45,   2.28,   7.90,   4.82,   3.47,   5.17,  -0.69,   4.49
199508,   0.50,   0.46,  -0.44,  -2.40,  -0.15,   4.22,  -2.95,   0.82,   0.31,   3.51
199509,   6.32,  -0.64,   2.07,   1.26,   1.23,   5.43,   2.72,   7.34,   5.73,   4.42
199510,   0.30,  -5.01,  -2.78,  -0.26,   1.46,  -0.46,  -5.56,   1.02,   1.17,  -2.20
199511,   4.29,   5.17,   6.26,   3.97,  -0.80,   2.57,   5.96,   4.73,   0.95,   5.96
199512,   1.40,   2.96,   1.34,   5.74,  -4.24,   3.67,  -0.89,   5.83,   4.57,   0.97
199601,   2.59,   3.28,   3.30,  -0.40,   1.92,   2.02,  -0.41,   5.81,   1.64,   3.35
199602,   3.00,   1.68,   0.64,   0.34,   6.29,  -2.29,   4.20,  -1.22,  -3.17,   2.06
199603,  -1.29,   4.15,   3.31,   4.93,  -3.49,  -2.06,   5.86,   0.14,  -0.91,   1.53
199604,   0.04,   3.34,   1.55,   3.42,  10.05,   2.32,   4.17,  -0.70,  -2.89,   0.06
199605,   6.41,   1.94,   2.10,  -0.21,   3.81,  -0.04,   4.27,   3.73,   0.71,   1.41
199606,   2.93,  -5.06,  -0.56,   0.88,  -4.97,   0.23,  -1.69,  -0.28,   4.76,  -0.42
199607,  -4.16,  -4.38,  -4.13,  -4.70,  -7.57,  -8.86,  -7.59,  -6.23,  -6.13,  -4.46
199608,  -0.88,   2.84,   3.00,   2.29,   4.37,  -1.02,   5.72,   4.07,   2.27,   3.75
199609,   3.33,   2.26,   5.96,   3.96,  10.55,   1.30,   3.46,   7.24,   0.20,   4.91
199610,   1.72,  -0.09,   1.52,   5.80,  -1.27,  -1.07,  -2.27,  -0.83,   3.23,   3.79
199611,   4.97,   5.71,   5.89,   4.92,  11.98,   5.55,   3.03,   6.52,   2.05,   7.40
199612,   0.23,  -3.37,  -0.58,   0.76,  -2.59,   2.35,  -3.55,  -2.81,  -0.29,  -1.96
199701,   5.51,   2.94,   4.20,   4.29,   9.38,   2.04,   0.11,   9.54,   0.59,   5.90
199702,   3.98,   0.04,   0.62,  -6.24,  -7.50,   2.18,   3.00,   0.80,  -1.06,   2.47
199703,  -5.46,  -4.08,  -3.90,   5.16,  -5.59,  -7.92,  -1.38,  -7.49,  -3.21,  -6.05
199704,   5.12,   2.07,   5.24,   0.01,   8.18,   2.27,   2.14,   6.01,  -1.71,   5.08
199705,   5.78,   6.34,   7.64,   6.75,  10.09,   6.54,   5.94,   6.77,   3.19,   6.11
199706,   3.23,   3.76,   5.09,   1.27,   1.32,   3.51,   4.94,   8.82,   2.60,   5.23
199707,   3.30,   7.19,   7.03,   7.30,  15.96,   2.47,   7.72,   1.92,   2.43,   9.09
199708,  -6.34,   1.09,  -5.68,  -0.18,  -1.36,  -2.37,  -2.65,  -6.23,  -1.64,  -4.89
199709,   5.27,   5.20,   3.17,   6.26,   3.44,   9.46,   5.13,   6.54,   4.19,   7.79
199710,  -3.18,  -3.54,  -5.96,  -2.10,  -8.43,   3.11,  -2.27,   0.17,   0.56,  -2.75
199711,   6.29,  -1.90,   4.06,  -3.95,   1.42,  10.17,   5.28,   2.72,   6.66,   2.92
199712,   3.53,   3.90,  -0.39,  -1.55,  -4.23,   4.39,  -0.31,   3.44,   7.54,   5.21
199801,  -2.94,   0.34,   0.68,  -5.76,   5.23,   4.65,   0.89,   5.69,  -4.65,  -2.22
199802,   5.04,  11.97,   6.97,   6.28,  10.38,   2.54,  10.32,   5.32,   2.23,   8.08
199803,   5.46,   6.13,   4.74,   4.76,   1.28,   9.66,   6.47,   3.54,   6.39,   5.69
199804,  -3.15,   0.70,   1.18,   3.78,   5.10,  -3.19,  -0.45,   1.85,  -2.85,   1.70
199805,   1.00,   6.97,  -2.60,  -4.68,  -7.01,  -1.71,   2.08,  -2.59,  -1.29,  -3.09
199806,   3.54,   1.68,  -0.66,  -1.40,   8.75,   3.06,   4.73,   6.09,   2.45,   3.03
199807,  -4.12,  -1.58,  -5.90,  -6.89,   0.48,   3.59,  -3.14,  -0.26,  -5.62,  -1.81
199808, -13.08, -19.38, -14.46, -10.86, -17.64, -11.87, -14.29, -12.37,   1.80, -21.44
199809,   0.99,   1.42,   0.42,  12.97,  15.17,  10.00,   1.42,  11.89,   7.62,   2.54
199810,  10.76,  11.36,  11.14,   1.25,   6.31,   6.51,  10.52,   3.82,  -2.07,   8.83
199811,   6.19,   4.57,   3.41,  -0.07,  11.60,   3.63,   9.49,   6.06,   0.97,   6.11
199812,   0.28,   4.19,   2.16,  -1.20,  15.26,  14.22,   8.91,   4.96,   2.45,   3.49
199901,  -3.45,   5.10,   0.53,  -5.53,  15.10,   8.54,   2.32,   0.18,  -6.54,   1.01
199902,  -3.88,  -4.56,  -2.12,  -3.73, -11.49,  -2.96,  -1.57,   0.11,  -4.18,  -0.11
199903,  -2.25,  -0.87,   4.56,  15.37,   8.49,  -0.76,   2.74,   2.46,  -2.10,   2.27
199904,   3.71,  10.00,   9.23,  15.88,   2.34,   8.08,   0.46,  -5.57,   6.84,   6.66
199905,   1.29,  -5.66,  -3.35,  -3.55,  -0.67,   1.00,  -2.94,  -2.17,   6.33,  -3.64
199906,   0.08,   0.57,   4.49,  -1.51,  11.70,   5.77,   7.85,   4.40,  -4.65,   3.14
199907,  -2.53,  -6.20,  -1.23,   1.62,  -1.80,  -1.78,  -5.09,  -4.47,  -0.93,  -6.16
199908,  -4.72,   0.81,  -0.50,   1.41,   5.44,  -7.59,  -6.05,   3.60,   0.18,  -5.23
199909,  -7.08,  -7.81,  -2.96,  -3.91,  -0.21,   4.26,   1.37,  -7.19,  -4.67,  -4.48
199910,   6.41,   4.15,   4.26,  -1.61,   3.26,   9.40,   3.33,  10.74,   1.84,  11.27
199911,  -1.39,  -2.22,  -1.22,   3.29,  12.88,   4.30,   4.10,   1.38,  -7.87,  -2.34
199912,  -2.77,   2.77,   9.62,   0.64,  20.73,   4.14,   6.48,  -5.70,  -2.77,   1.33
200001,  -4.84,  -1.14,  -8.03,   0.88,  -4.71,  -4.12, -11.27,   7.49,   5.49,  -4.73
200002,  -6.31,  -8.28,  -4.38,  -5.91,  18.18,  -3.52,  -3.96,  -3.00,  -7.78,  -7.11
200003,   7.37,  10.46,   8.17,  12.23,   3.93,   7.47,  13.27,   0.22,   5.33,  13.95
200004,  -1.87,   8.98,   0.95,  -2.01, -10.71,  -8.03,  -4.33,   5.17,   7.26,  -3.53
200005,   7.10, -13.48,  -1.58,   9.02, -10.86, -10.49,  -2.74,   3.78,   3.44,   3.23
200006,   2.06,  -9.56,  -1.24,  -5.20,  13.03,   4.13,  -2.35,  11.51,  -5.16,  -2.84
200007,   0.73,   4.23,  -0.72,  -2.64,  -5.19,  -7.51,  -1.38,  -6.22,   4.18,   5.40
200008,  -1.98,   4.26,   6.72,   8.47,  12.55,  -1.04,  -2.51,   3.41,  11.20,   8.90
200009,   3.07,  -4.15,  -6.12,   4.33, -15.01,  -4.11,   2.67,   3.72,   9.35,   0.22
200010,   7.57,   1.49,   4.51,  -3.08,  -7.31,  -0.54,  -1.48,   2.54,  -2.46,  -1.12
200011,   2.60, -11.51,  -3.86,  -3.37, -23.39, -15.58,  -1.45,   0.69,   2.70,  -6.14
200012,   5.20,   0.96,   7.01,   7.72,  -7.97,  -4.31,   5.58,   3.45,   6.28,   7.07
200101,  -1.99,  12.78,  -0.14,  -3.40,  16.52,  14.05,   6.58,  -9.01, -10.94,  -0.02
200102,   0.08,  -1.57,  -4.46,  -0.32, -26.03,  -9.96,  -5.39,  -0.60,   5.76,  -4.53
200103,  -4.99,  -3.12,  -7.39,  -0.34, -13.63,  -5.88,  -2.93,  -8.49,   1.38,  -4.29
200104,   0.88,   8.04,   8.41,  10.29,  17.99,   2.44,   5.57,   3.92,   5.30,   5.75
200105,   3.22,  -2.62,   2.65,  -0.28,  -3.35,  -1.32,   1.54,   2.84,  -0.46,   3.56
200106,  -1.95,   3.45,  -4.57,  -7.75,   1.46,  -3.11,  -2.55,  -2.86,  -6.45,  -0.03
200107,  -0.22,   3.24,   0.44,  -2.58,  -7.62,  -0.95,   4.57,   2.23,  -3.84,  -2.44
200108,   2.38, -11.95,  -2.20,  -4.00, -12.68,  -9.26,  -7.03,  -3.29,  -0.09,  -5.46
200109,  -2.93, -16.95, -12.83,  -5.70, -18.98,  -2.51,  -9.66,  -0.59,  -6.63,  -8.45
200110,   1.03,   0.65,   3.78,   4.75,  15.68,  -9.68,   1.61,   1.09,   1.24,  -0.67
200111,   1.90,  15.21,   8.10,  -4.56,  15.91,   6.03,  10.06,   4.93,  -2.15,   7.80
200112,   1.71,  -0.99,   2.57,   6.12,  -0.62,   2.64,   4.45,  -2.96,   3.56,   3.15
200201,   1.87,   2.81,   1.55,  -3.00,  -0.58,  -7.48,   2.74,  -2.44,  -4.33,  -3.09
200202,   4.26,   2.78,   4.09,   4.71, -13.28,  -2.41,  -0.13,  -0.63,  -0.71,  -0.69
200203,   3.39,   6.86,   4.84,   7.77,   6.43,   0.27,   1.97,   0.41,   9.78,   5.34
200204,   2.62,   1.73,  -1.58,  -4.43, -11.80, -13.00,  -1.40,  -7.66,  -0.73,  -3.82
200205,   1.33,  -0.56,  -0.53,  -1.01,  -3.84,   2.98,  -1.30,  -2.39,  -6.96,  -0.53
200206,  -6.11,  -8.15,  -3.22,  -0.49, -12.25, -14.45,  -5.15,  -9.66,  -5.65,  -5.56
200207,  -6.77, -12.41,  -8.63, -11.96,  -9.64, -12.05, -11.34,  -2.66, -12.51,  -6.54
200208,   2.39,   0.10,  -1.48,   0.03,  -0.92,   0.34,   1.85,   0.49,   2.77,   1.01
200209,  -8.05, -11.17,  -8.37,  -8.19, -16.77,  -9.39,  -9.47,  -5.93, -11.16, -10.88
200210,   5.16,  -3.48,   3.72,   3.23,  19.40,  20.89,   5.66,   5.57,  -1.03,   6.22
200211,  -1.44,  11.74,   5.97,   2.64,  16.10,  11.83,   1.85,   3.54,   1.06,   4.48
200212,  -0.34,  -7.42,  -3.86,   0.71, -13.06,  -9.22,  -7.02,  -4.19,   3.54,  -5.17
200301,  -4.84,  -3.41,  -4.19,  -2.43,  -1.47,  -3.86,  -4.80,  -0.71,  -3.46,  -2.46
200302,  -3.22,  -5.40,  -2.41,   1.44,   1.17,  -6.46,  -1.26,  -2.07,  -4.48,  -2.81
200303,  -3.10,  -2.82,   1.20,   1.12,  -1.00,  -0.65,   4.52,   3.72,   4.07,   0.61
200304,   4.63,  14.93,   6.24,  -0.62,   9.26,  10.70,   8.86,   4.22,   7.22,  11.67
200305,   9.11,   2.52,   4.38,   8.39,   9.73,   6.22,   3.36,   3.72,   9.57,   5.17
200306,   1.17,   2.59,   0.43,  -1.26,   0.23,   1.87,   3.38,   4.05,   0.38,   0.74
200307,  -2.40,   6.42,   4.81,  -2.77,   5.65,  -2.00,   3.29,   0.52,  -5.55,   3.35
200308,   0.55,   7.55,   3.97,   5.78,   6.00,   1.37,   6.71,  -2.70,   1.42,   0.50
